stars,likesCount,reviewerNumberOfReviews,isLocalGuide
4.0,0.0,284.0,True
5.0,1.0,371.0,True
3.0,3.0,53.0,True
3.0,25.0,616.0,False
5.0,0.0,33.0,True
5.0,1.0,67.0,True
5.0,0.0,623.0,False
5.0,0.0,7.0,True
5.0,3.0,259.0,False
5.0,0.0,199.0,False
5.0,1.0,426.0,True
4.0,0.0,7.0,True
5.0,0.0,28.0,True
3.0,4.0,149.0,True
5.0,1.0,322.0,True
5.0,0.0,100.0,True
5.0,0.0,1.0,False
1.0,13.0,269.0,True
2.0,0.0,627.0,True
4.0,3.0,64.0,True
2.0,0.0,251.0,True
4.0,0.0,141.0,True
5.0,0.0,36.0,True
3.0,3.0,54.0,True
5.0,0.0,60.0,False
5.0,0.0,54.0,True
3.0,3.0,342.0,True
5.0,0.0,362.0,True
4.0,0.0,339.0,True
5.0,3.0,61.0,True
4.0,0.0,7.0,True
4.0,0.0,137.0,False
5.0,0.0,5.0,True
5.0,1.0,33.0,True
5.0,2.0,7.0,True
2.0,0.0,46.0,False
5.0,0.0,5.0,False
5.0,3.0,195.0,False
5.0,0.0,40.0,True
5.0,3.0,122.0,True
4.0,0.0,160.0,False
5.0,1.0,67.0,True
4.0,0.0,241.0,True
3.0,3.0,204.0,False
5.0,3.0,326.0,True
5.0,4.0,227.0,False
4.0,2.0,220.0,True
5.0,0.0,3.0,True
5.0,0.0,612.0,True
5.0,0.0,67.0,True
5.0,0.0,308.0,False
5.0,3.0,291.0,False
5.0,1.0,449.0,False
5.0,0.0,401.0,False
5.0,0.0,386.0,True
4.0,3.0,303.0,True
5.0,3.0,343.0,False
5.0,0.0,179.0,True
5.0,0.0,196.0,True
3.0,0.0,211.0,True
1.0,0.0,308.0,False
3.0,0.0,175.0,True
5.0,0.0,210.0,True
5.0,0.0,262.0,False
5.0,3.0,234.0,True
4.0,0.0,7.0,True
3.0,3.0,164.0,True
4.0,0.0,7.0,True
1.0,0.0,511.0,False
5.0,0.0,270.0,False
5.0,0.0,5.0,True
2.0,0.0,5.0,True
5.0,0.0,56.0,True
5.0,0.0,161.0,True
5.0,0.0,7.0,True
5.0,0.0,280.0,True
5.0,0.0,284.0,True
4.0,0.0,291.0,True
4.0,0.0,270.0,True
5.0,3.0,91.0,True
4.0,0.0,46.0,False
4.0,0.0,208.0,False
3.0,0.0,142.0,True
3.0,1.0,133.0,False
4.0,0.0,20.0,False
5.0,0.0,196.0,True
3.0,2.0,52.0,True
4.0,1.0,561.0,True
4.0,0.0,1.0,True
3.0,1.0,1369.0,True
5.0,1.0,330.0,True
5.0,0.0,361.0,True
4.0,0.0,306.0,True
4.0,3.0,125.0,True
1.0,0.0,240.0,False
5.0,0.0,6.0,True
5.0,0.0,5.0,False
