stars,likesCount,reviewerNumberOfReviews,isLocalGuide
5.0,0.0,251.0,True
5.0,0.0,7.0,True
5.0,3.0,72.0,True
5.0,3.0,153.0,True
4.0,0.0,7.0,True
4.0,0.0,36.0,False
5.0,0.0,359.0,True
5.0,0.0,51.0,False
5.0,0.0,69.0,False
4.0,0.0,7.0,True
5.0,0.0,284.0,False
5.0,0.0,48.0,True
4.0,1.0,55.0,False
4.0,0.0,7.0,True
5.0,0.0,623.0,True
1.0,3.0,765.0,False
5.0,0.0,64.0,False
5.0,0.0,8.0,True
5.0,2.0,7.0,True
3.0,0.0,175.0,True
4.0,4.0,7.0,True
5.0,4.0,50.0,False
5.0,0.0,17.0,True
3.0,0.0,393.0,True
5.0,0.0,24.0,True
5.0,0.0,137.0,True
5.0,0.0,7.0,True
4.0,1.0,171.0,False
4.0,0.0,7.0,True
2.0,0.0,49.0,False
5.0,0.0,29.0,True
2.0,0.0,367.0,False
5.0,3.0,83.0,True
3.0,0.0,222.0,False
5.0,3.0,41.0,True
5.0,0.0,260.0,False
1.0,0.0,307.0,True
3.0,3.0,341.0,True
3.0,3.0,359.0,True
2.0,1.0,144.0,False
2.0,0.0,50.0,True
3.0,3.0,8.0,False
4.0,4.0,7.0,True
1.0,1.0,71.0,True
3.0,3.0,248.0,False
5.0,0.0,413.0,True
4.0,3.0,21.0,True
3.0,6.0,114.0,True
1.0,0.0,1270.0,False
5.0,6.0,280.0,True
4.0,0.0,68.0,True
5.0,0.0,4.0,True
5.0,0.0,488.0,True
4.0,2.0,11.0,True
5.0,0.0,380.0,True
4.0,0.0,7.0,True
5.0,0.0,4.0,True
5.0,0.0,110.0,True
4.0,0.0,1050.0,True
4.0,3.0,226.0,True
2.0,2.0,67.0,True
5.0,4.0,149.0,True
4.0,1.0,18.0,False
3.0,0.0,194.0,False
5.0,0.0,442.0,True
4.0,0.0,7.0,True
5.0,0.0,287.0,True
4.0,5.0,643.0,False
3.0,3.0,47.0,True
5.0,0.0,104.0,False
5.0,1.0,196.0,True
5.0,0.0,4.0,True
4.0,0.0,324.0,True
5.0,2.0,59.0,True
5.0,0.0,1.0,False
5.0,0.0,5.0,True
4.0,0.0,159.0,False
1.0,1.0,4.0,True
2.0,0.0,67.0,True
5.0,0.0,27.0,True
2.0,3.0,19.0,True
4.0,0.0,282.0,False
4.0,0.0,7.0,True
1.0,3.0,189.0,True
5.0,0.0,28.0,True
5.0,3.0,94.0,False
5.0,12.0,11.0,True
5.0,2.0,61.0,True
5.0,1.0,15.0,True
4.0,0.0,202.0,True
5.0,0.0,521.0,True
3.0,2.0,200.0,True
4.0,0.0,401.0,True
4.0,1.0,14.0,False
5.0,0.0,27.0,True
4.0,2.0,7.0,True
5.0,3.0,150.0,False
1.0,3.0,296.0,True
4.0,0.0,444.0,False
5.0,4.0,173.0,True
3.0,3.0,56.0,True
4.0,2.0,183.0,True
4.0,0.0,209.0,True
4.0,0.0,29.0,True
5.0,0.0,7.0,True
4.0,0.0,591.0,False
2.0,0.0,268.0,True
5.0,0.0,7.0,True
4.0,0.0,201.0,True
3.0,3.0,1063.0,True
5.0,0.0,7.0,True
1.0,0.0,4.0,False
5.0,0.0,642.0,True
4.0,0.0,370.0,False
5.0,0.0,183.0,True
4.0,0.0,21.0,True
5.0,0.0,66.0,True
3.0,0.0,129.0,False
5.0,0.0,655.0,True
5.0,2.0,167.0,False
4.0,3.0,321.0,True
5.0,0.0,717.0,True
5.0,0.0,173.0,True
3.0,3.0,123.0,True
3.0,3.0,275.0,False
5.0,0.0,6.0,True
5.0,0.0,288.0,False
5.0,0.0,1.0,True
5.0,0.0,6.0,True
5.0,0.0,165.0,True
5.0,0.0,4.0,False
4.0,1.0,384.0,True
5.0,0.0,384.0,True
4.0,3.0,17.0,False
4.0,3.0,240.0,True
5.0,0.0,227.0,True
5.0,0.0,384.0,True
5.0,0.0,511.0,True
5.0,0.0,9.0,False
5.0,0.0,627.0,True
5.0,0.0,196.0,True
4.0,3.0,81.0,True
5.0,3.0,128.0,True
5.0,0.0,6.0,False
5.0,0.0,244.0,True
3.0,3.0,38.0,True
4.0,0.0,378.0,False
5.0,3.0,188.0,True
1.0,0.0,22.0,True
4.0,1.0,40.0,True
5.0,3.0,68.0,True
4.0,0.0,71.0,True
5.0,0.0,8.0,True
5.0,0.0,18.0,True
5.0,0.0,442.0,False
4.0,0.0,7.0,True
4.0,3.0,143.0,False
5.0,3.0,574.0,False
5.0,3.0,273.0,True
5.0,0.0,1206.0,False
5.0,0.0,20.0,False
4.0,2.0,131.0,True
5.0,0.0,7.0,True
4.0,0.0,31.0,False
4.0,0.0,7.0,True
3.0,1.0,164.0,True
5.0,0.0,37.0,True
4.0,3.0,267.0,True
5.0,0.0,310.0,False
5.0,3.0,419.0,True
3.0,0.0,94.0,False
3.0,1.0,82.0,True
5.0,0.0,209.0,True
5.0,0.0,61.0,False
5.0,5.0,111.0,True
3.0,3.0,154.0,True
5.0,3.0,276.0,False
4.0,0.0,195.0,False
5.0,3.0,94.0,True
5.0,0.0,120.0,False
5.0,0.0,191.0,True
1.0,3.0,238.0,True
5.0,0.0,20.0,False
2.0,0.0,83.0,True
5.0,3.0,55.0,True
5.0,0.0,2.0,True
5.0,3.0,281.0,True
5.0,9.0,14.0,False
1.0,0.0,36.0,False
5.0,3.0,326.0,True
5.0,3.0,96.0,True
5.0,3.0,260.0,True
5.0,0.0,10.0,True
5.0,0.0,17.0,True
4.0,0.0,289.0,False
5.0,0.0,7.0,True
4.0,0.0,4.0,True
4.0,2.0,7.0,True
4.0,0.0,287.0,True
2.0,0.0,22.0,False
2.0,0.0,511.0,True
3.0,3.0,488.0,True
5.0,0.0,51.0,True
3.0,0.0,72.0,False
5.0,0.0,7.0,True
5.0,0.0,22.0,False
3.0,0.0,19.0,True
2.0,0.0,242.0,True
1.0,0.0,62.0,False
3.0,0.0,34.0,False
5.0,0.0,281.0,True
1.0,0.0,1622.0,True
5.0,0.0,551.0,True
5.0,0.0,166.0,True
4.0,0.0,7.0,True
5.0,0.0,163.0,True
4.0,3.0,143.0,True
5.0,0.0,7.0,True
4.0,0.0,7.0,True
5.0,25.0,859.0,True
1.0,5.0,237.0,False
5.0,0.0,124.0,False
5.0,0.0,38.0,False
2.0,0.0,423.0,True
2.0,1.0,8.0,True
3.0,0.0,1176.0,False
5.0,0.0,121.0,False
5.0,0.0,7.0,True
5.0,0.0,30.0,True
5.0,0.0,4.0,True
5.0,2.0,317.0,True
3.0,0.0,1.0,False
1.0,0.0,596.0,False
5.0,3.0,221.0,True
5.0,0.0,608.0,False
5.0,0.0,237.0,True
4.0,2.0,888.0,True
5.0,0.0,3.0,True
5.0,0.0,102.0,True
5.0,1.0,148.0,True
5.0,3.0,765.0,True
5.0,0.0,13.0,True
5.0,0.0,121.0,True
5.0,0.0,17.0,True
5.0,0.0,7.0,True
5.0,0.0,258.0,True
5.0,0.0,7.0,True
5.0,3.0,70.0,True
4.0,2.0,7.0,True
5.0,0.0,124.0,False
5.0,0.0,7.0,True
2.0,0.0,114.0,False
5.0,6.0,132.0,True
1.0,0.0,133.0,False
5.0,3.0,187.0,True
4.0,0.0,4.0,False
5.0,0.0,66.0,False
5.0,1.0,5.0,True
2.0,2.0,210.0,False
3.0,0.0,361.0,True
4.0,0.0,214.0,False
3.0,3.0,271.0,True
5.0,0.0,496.0,False
4.0,0.0,72.0,False
4.0,3.0,142.0,True
5.0,0.0,377.0,False
1.0,3.0,247.0,True
5.0,0.0,333.0,False
5.0,0.0,67.0,True
1.0,0.0,132.0,False
1.0,0.0,64.0,False
5.0,0.0,9.0,True
4.0,0.0,7.0,True
4.0,3.0,174.0,False
5.0,0.0,25.0,True
5.0,0.0,75.0,True
4.0,0.0,208.0,True
5.0,0.0,179.0,True
4.0,0.0,16.0,True
1.0,0.0,25.0,False
5.0,4.0,94.0,False
5.0,2.0,3.0,True
5.0,0.0,491.0,True
4.0,0.0,13.0,True
5.0,0.0,741.0,False
5.0,3.0,167.0,True
4.0,4.0,371.0,True
2.0,0.0,67.0,True
5.0,0.0,811.0,True
2.0,0.0,161.0,False
5.0,3.0,51.0,True
5.0,2.0,1.0,False
5.0,1.0,636.0,True
5.0,0.0,7.0,True
5.0,2.0,20.0,True
4.0,0.0,174.0,False
4.0,1.0,35.0,True
5.0,0.0,51.0,True
5.0,0.0,306.0,True
5.0,0.0,7.0,True
5.0,0.0,391.0,False
1.0,0.0,234.0,False
1.0,3.0,1063.0,True
5.0,3.0,2.0,True
5.0,0.0,3.0,False
5.0,0.0,239.0,False
4.0,3.0,163.0,True
4.0,0.0,30.0,True
1.0,1.0,120.0,True
5.0,0.0,67.0,True
5.0,3.0,382.0,True
5.0,0.0,28.0,True
5.0,0.0,11.0,False
4.0,7.0,590.0,False
4.0,0.0,7.0,True
5.0,0.0,98.0,True
2.0,0.0,1337.0,False
5.0,0.0,205.0,False
5.0,0.0,6.0,False
5.0,0.0,351.0,False
5.0,0.0,381.0,False
4.0,0.0,131.0,True
5.0,0.0,235.0,True
5.0,0.0,652.0,True
5.0,0.0,239.0,False
5.0,1.0,7.0,True
5.0,0.0,168.0,True
5.0,0.0,17.0,True
3.0,0.0,30.0,True
5.0,4.0,265.0,True
5.0,0.0,36.0,True
5.0,0.0,413.0,False
1.0,1.0,1584.0,True
4.0,0.0,1.0,True
2.0,3.0,196.0,True
5.0,1.0,7.0,True
5.0,2.0,8.0,True
3.0,3.0,326.0,False
1.0,0.0,278.0,False
5.0,0.0,848.0,False
3.0,0.0,3.0,False
4.0,0.0,760.0,True
4.0,0.0,6.0,False
5.0,1.0,254.0,True
5.0,0.0,16.0,False
5.0,0.0,2.0,True
5.0,0.0,81.0,True
5.0,0.0,1.0,True
1.0,0.0,67.0,True
5.0,0.0,179.0,False
3.0,3.0,199.0,True
3.0,0.0,244.0,True
5.0,0.0,32.0,False
5.0,0.0,5.0,False
5.0,0.0,317.0,True
5.0,0.0,308.0,True
1.0,25.0,99.0,False
5.0,0.0,15.0,True
4.0,0.0,17.0,True
4.0,2.0,7.0,True
3.0,1.0,541.0,True
4.0,3.0,234.0,True
5.0,0.0,7.0,True
5.0,25.0,36.0,False
4.0,0.0,153.0,False
5.0,0.0,56.0,True
5.0,3.0,52.0,True
5.0,0.0,2.0,False
5.0,0.0,7.0,True
5.0,0.0,246.0,False
4.0,22.0,155.0,True
3.0,3.0,479.0,True
5.0,3.0,414.0,False
5.0,1.0,561.0,True
5.0,0.0,36.0,True
5.0,0.0,207.0,False
4.0,2.0,118.0,True
3.0,3.0,547.0,True
3.0,0.0,197.0,False
2.0,0.0,97.0,True
5.0,0.0,7.0,True
5.0,0.0,199.0,True
1.0,0.0,499.0,False
5.0,2.0,25.0,True
5.0,1.0,100.0,False
5.0,1.0,124.0,True
5.0,0.0,721.0,False
1.0,0.0,42.0,True
5.0,2.0,215.0,False
4.0,0.0,15.0,False
5.0,0.0,2.0,False
1.0,1.0,124.0,False
2.0,0.0,914.0,True
5.0,0.0,7.0,True
5.0,0.0,50.0,True
4.0,0.0,11.0,False
1.0,3.0,235.0,True
3.0,7.0,148.0,False
1.0,14.0,158.0,True
5.0,0.0,160.0,True
4.0,1.0,117.0,True
5.0,0.0,144.0,True
5.0,1.0,32.0,True
5.0,4.0,130.0,True
5.0,0.0,306.0,True
1.0,0.0,131.0,False
5.0,0.0,285.0,True
4.0,0.0,426.0,True
5.0,1.0,129.0,True
4.0,0.0,180.0,False
3.0,1.0,158.0,True
5.0,0.0,119.0,True
1.0,0.0,166.0,False
4.0,1.0,7.0,True
4.0,0.0,11.0,True
5.0,0.0,37.0,True
5.0,3.0,101.0,True
5.0,0.0,6.0,False
5.0,0.0,2.0,True
4.0,0.0,4.0,False
4.0,2.0,297.0,True
5.0,0.0,11.0,True
5.0,0.0,442.0,False
4.0,0.0,220.0,True
5.0,0.0,233.0,False
5.0,0.0,39.0,True
5.0,0.0,2.0,True
4.0,0.0,7.0,True
5.0,0.0,7.0,True
5.0,3.0,205.0,True
4.0,0.0,143.0,True
5.0,0.0,158.0,True
1.0,31.0,128.0,False
5.0,0.0,1.0,False
5.0,0.0,21.0,True
5.0,0.0,234.0,True
1.0,0.0,279.0,False
5.0,0.0,859.0,True
1.0,0.0,4.0,True
5.0,0.0,369.0,False
1.0,0.0,20.0,True
5.0,2.0,90.0,True
5.0,0.0,7.0,True
4.0,0.0,269.0,False
5.0,0.0,287.0,True
4.0,0.0,43.0,True
4.0,0.0,42.0,True
5.0,0.0,35.0,True
3.0,0.0,717.0,True
5.0,0.0,47.0,True
5.0,2.0,7.0,True
4.0,0.0,200.0,True
5.0,0.0,426.0,True
4.0,1.0,7.0,True
5.0,0.0,7.0,True
5.0,0.0,60.0,True
5.0,0.0,319.0,True
5.0,0.0,23.0,False
1.0,0.0,328.0,True
4.0,0.0,160.0,True
5.0,0.0,7.0,True
3.0,0.0,833.0,False
5.0,0.0,181.0,False
5.0,0.0,366.0,True
5.0,3.0,98.0,True
5.0,3.0,43.0,False
5.0,0.0,359.0,False
5.0,0.0,20.0,False
4.0,0.0,7.0,True
5.0,3.0,83.0,True
3.0,0.0,413.0,True
4.0,0.0,7.0,True
4.0,0.0,7.0,True
5.0,0.0,61.0,True
3.0,0.0,444.0,False
2.0,3.0,223.0,True
3.0,3.0,360.0,True
4.0,1.0,146.0,True
5.0,0.0,87.0,False
5.0,0.0,310.0,False
5.0,0.0,124.0,False
5.0,0.0,442.0,True
5.0,0.0,667.0,True
5.0,1.0,874.0,True
5.0,0.0,7.0,True
5.0,1.0,174.0,True
5.0,0.0,7.0,True
5.0,1.0,191.0,True
3.0,0.0,489.0,True
5.0,0.0,242.0,True
5.0,0.0,373.0,True
1.0,0.0,711.0,False
1.0,27.0,344.0,False
3.0,3.0,454.0,True
4.0,2.0,312.0,True
1.0,0.0,89.0,True
5.0,0.0,5.0,False
4.0,0.0,10.0,True
5.0,1.0,271.0,True
4.0,0.0,22.0,True
4.0,1.0,73.0,True
5.0,0.0,166.0,True
5.0,3.0,549.0,True
5.0,1.0,361.0,True
1.0,7.0,210.0,True
1.0,0.0,488.0,False
3.0,3.0,227.0,False
4.0,1.0,7.0,True
3.0,3.0,209.0,True
5.0,0.0,22.0,True
5.0,0.0,123.0,True
4.0,0.0,235.0,True
5.0,0.0,41.0,True
4.0,0.0,7.0,True
5.0,0.0,259.0,True
5.0,0.0,34.0,True
3.0,3.0,35.0,True
5.0,0.0,64.0,True
5.0,0.0,41.0,False
5.0,1.0,35.0,True
5.0,1.0,39.0,True
4.0,0.0,323.0,False
4.0,0.0,79.0,True
5.0,0.0,50.0,True
5.0,0.0,10.0,True
5.0,4.0,360.0,True
5.0,0.0,57.0,False
5.0,0.0,7.0,True
4.0,3.0,164.0,False
