gpt3_v2,gpt3_v3,gpt3_v3.1,gpt3_v4,text,categoryName
 We went as a date night and our first breakout room experience.  Will definitely do this again!  Justin was our host and he did a great job of making sure we were all engaged and involved in figuring out the clues and breaking out of the room! Overall a great experience and great fun! , It's a great place to work your team game for fun times , Auntie was awesome. I would go again. , Very fun and challenging ,The staff were so great and my daughter and her friends had a great time!  Highly recommend!,Escape room center
 Convenient and clean! ," Movie with a girl you like, see the movie late then take her out on the executive suite and make out if you can.. "," Driving down the interstate to the Mall to get some last-minute Christmas shopping accomplished, we discovered a quaint movie theatre with TWO digital projection screens and 3 outdoor heaters. All I could think of was how much I love going to a Movie Theater! This is my ""must get-a-card-for"" situation every year.

We were pleasantly surprised to see that they offer alcohol also! On the day we went, they had bottled beer behind the ticket counter.

I highly recommend making time to check out this cinema! It was a great experience. "," Great movie theater with very comfy seating. Their food is more expensive than other places in the area, but their food is always really good and comes out hot. Ice cream is right outside the theater neat the wall windows. ",the guy at the main entrance was racist and rude he had a attitude and was looking down my shirt i am young teen and this made me very uncomfortable as a person i'm not coming back EVER!!!!,Movie theater
 this looks like an old hotel. It's not clean. it' smells like smoke in the room even it says nonsmoking! , Great place but people are super rude and obnoxious in the casino. The restaurant sucks and the outside seating sucks. ," Really great campground. The camp site was well kept, in a very pretty setting. [The RV park site is at river level]. We arrived in the late morning and  didn’t see life until late afternoon so if you need the conveniences, get there early in the day. The Tub-o-Royale on the Marketplace location is amazing. They also have a really good restaurant right on site. The only con about this campground is that it is for RVs only.  Restricted camping at an RV park.

We can say definitely a “go there” recommendation. Overall, a good experience at an average campground. Not sure why the price was up another $10 from what I saw online.

Kids went rock climbing–are you kidding? ", Beautiful anniversary suite! ,"If I could give negative stars, I would.  The room itself was a little sketchy with something growing on the wall, the ceiling was pealing in the corner and was breaking away along the exterior wall. The tub had serious rust stains, and the phone didn't work. That's relevant because I needed to call the front desk when I woke up and found that my car had been broken into.

I had to call on my phone and the front desk just asked what room I was in. They didn't even apologize that this crime had been committed, didn't offer to send someone to clean up the glass, call the cops, anything. And when I checked out they didn't say anything. I received more sympathy from the cops (just filed a report, they didn't send anyone out) and the glass repair company Safelite. They apologized that this had happened and helped me find a repair location that can get me in tomorrow in a different state. Quality Inn isn't quality at all. They don't care about your stay at all.",Hotel
 The staff is sooooo nice and patient with my kids. The whole family can have a fun time here. Soooooo much to do👍🏽 ," First time tryatred here, it was better than i thought! Can't wait to try it again in the summer💃🏼
$2.50 per player atm ;) , FUN✈️💃🏼 ", Always a great time here ," My 83% year old enjoyed herself here.  After a month of rain our streets were  flooded and we wanted something positive,  fun and active.  My daughter and I, trying to be positive and active,  decided to all get out for the day ",I truly truly truly enjoyed my time at Sky Zone yesterday me and my son and family members visited the Gardena location it was my first time. I was blowing away when I enter the establishment could not believe how well put together everything was in all of the activities the kids and adults where able to embark on especially was please with the service I received from one of the ramps who handles the party arrangements his name is Chris spell with the K he was awesome awesome awesome awesome I love good customer service I well blown away from the excellent customer service in the attention that he gave to us to sure that our visit their was as over the top as it was thank you so much I will continue to visit sky Zone even if its just to buy me one of those awesome smoothies are enjoy a barbecue chicken pizza the atmosphere is wonderful the food the people everybody there was just my son he enjoyed himself and the AM looking forward to attending the glow in the dark night. Thank you so much once again and keep up the good work. Kris needs to be promoted to the management team we is awesome,Amusement center
" Superb range of hot foods, with very friendly and prompt service. An excellent place for lunch – economical, but with a wide selection of halal foods. "," We were all extremely impressed with this restaurant! Called ahead and they were able to take our order to go and it was all wonderful! The fries were pretty classic but, man were they good. The ambiance and decor was a delight, great service and the lemonade made it all even better. As good as life was, we had a nice dessert. ", Visiting family in Detroit. REALLY GREAT that this restaurant exists here. Our multiple orders of pitas and various dips were gone like breadcrumbs in seconds. Or placed on the table for others to eat. So glad we made the 30minute drive there to get a few minutes to enjoy it and then continue enjoying conversation with family together. , Food is great and people are nice. Will be back soon. ,Love love love the food. What an incredible price for all you can eat food. Lamb shank was just perfect. Fish was fall off the bone. Spices were just incredible. Place is not super pretty and ambiance is nonexistent but go for the incredible dishes.  I am still giving it a 5 star and coming back every time I am in the cities.,Mediterranean restaurant
" Very fun for a group outing
You have to reserve lanes in advance.
Ask for Anthony!
So stellar!!
Don’t wear your workout shoes
LOL
😂
Haha ", It's a nice place to bowl , Has great mini golf. would come here again. ," Awesome older place. A little dark and old school in decor, but feels classic and retro. Good selection of beer (and they were actually cold). Staff are great. Awesome location on Preston, right in the middle of the bridge. They organize leagues and host tournaments and you can spend a whole day there. Hundreds of lanes in the center and shops/ restaurants on both sides. Pin up boutique, JJ's Americana, Brews coffee and Vintage 56. ","Spent a hundred bucks for four people to bowl on a Friday night, including shoe rentals. It got pretty busy with people, and they have a great food and drink menu. Sign up for their newsletter on their website so they can send you coupons for discounts on games. That's what I did, so we saved money. I didn't order pizza, but saw someone order it, and it looks so amazingly delicious. The space you share with another group is pretty snug, though. Still had fun!",Bowling alley
 Nice establishment. Lots of amenities. ," We had a really nice time for Valentine’s weekend. Warm cozy fireplace room was perfect for our little one. Also her favorite part of room was the bathroom. Bigger than other rooms we have stayed in. An even bigger plus side to this is she LOVED the floor to ceiling mirror!
We had room 729 the older kind with remodeled bath and it was well decorated and had everything we needed. Will definitely be back next year. Room remodel was done 4 years ago.
The town has now taken away the old car jumps and lowered barriers to pass over the hump. Very nice changes. We really like that there is much better lighting now for the town and walking around is much safer now.
Almost 2 years since our stay and we still talk about it.
A family of 4 in room 219. Not many side rooms. "," One of 3 locations in Reno and our stop for parties, conventions and to visit a few places we haven't visited yet that attract Northern Nevada locals, who love to gather and drink & eat at Carnitas La Plaza on weekends.

Lots of rave and good reviews abound here. "," You may love or hate the trip from NY to NY or from San to Boston, but the trip from TX to NY was managed 100% by Expedia and Excellent!. This hotel was one of the spot on inquiries resulting from the travel plan management for NY. Its within the low economic rate to NY. Near the Subway station, UNG, Hilton can advise to use the hotel as a midway breakpoint. Tours may start in Foggy Bottom, Capital Hill, Washington Cathedral. Within an hour bus ride can reach the Virginia House. Within 30 minutes drive to the Mount Vernon House. Visiting the National Mall & Museum its may as well as in Europe or your grandmother/ grandfather place. Within a step from Carbo City & within walking distance from Crate& Barrel & Family Dollar & Aldi to buy food and hygiene product. Near the ZipCar for long distance travels about 600 dollars for weekdays for the one way. Midway hotel may present a mid week rest opportunities. Is respectful to the","Filming location of ""YAMASHITA TOMOHISA ROUTE66"" document in 2012",Hotel
" Girls weekend, close to the beach and pool. Overpriced for the quality of the room,  but Ocean Park is hard to beat. It's an older property, but it's in a great location. Better than some of the dumps in the area. ", Best buffet this side of earth , The food is ok nothing to write home about pretty basic ," I spent an evening outside and on the balcony, enjoying the view of Mount Rainier. Great accommodations and a nice staff. ",Nice hotel. Room was large and clean. Breakfast was poor with very little options. Hotel gym was nice. A lot of free parking around the hotel. It is easy to arrive by car from the airport (about 30 min drive). Fast check in and check out.,Hotel
" Comfortable shoes are a must. The lanes are well kept and there are a variety of amazing scoring options. I also like the automated ball return, it keeps things moving quickly. Late night Friday you might be bowling with enough intoxicated folks to need the automated ball return! ", Great staff and clean environment! We had a lot of fun here ," So good, such a fun and clean place! Definitely one of the best, if not better place to go on a date. We made a reservation for a date night for 4 people and it was packed on Saturday night so we definitely recommend getting reservations early! The staff there makes you and your significant other feel important and loved, making for an amazing date! Having great fun and memories here. Food was good as well and so much fun! We kept pin balling and had so much fun with our own lane and friend again. Ps this ain’t even counting all the extra games like ping pong and pan games. We got a ROUGH COACH home safe, lol nothing less than 5 stars! ", My son attended his first intro to bowling class yesterday hosted by Bowl America. Our instructor was Cory and the kids had such a great time learning about bowling and proper technique! The event was so much more than I expected. This is a kids fashion show and had some of my favorite Instagram Kids in attendance - none of them were a disappointment. It's time to get ready again baby and really it's got to be Bowl era! ,Older location but in good shape. Nice bar at the bowling alley and good games for the kids if they don't want to bowl. Parking out front can be tough so plan for it.,Bowling alley
 I had my baby shower here and it was a great experience! Sonia accommodated all of my specific needs and handled all of the reservations and guest list flawlessly! Thank you Sonia and your team for a great event! ," I've been here a few times w/ my daughter.  She goes at least 2x/week that they open.  This last time, Autumn was actually an attendant and  even had good customer service.  She took control and helped me with my HUGE, 3 year old constantly jumping.  I was able to sit and watch her because it was her 1st day.  As a former mom,  I really appreciated the customer service. Before I was upset because I over paid and because the inflatables were so old.  As it’s opening weekend, they were out of the Lazy River! Really low turn out! I will be returning next weekend to check back with the new face. To bring and old face/fat face up to date but....I will definitely recommend. ", This is the third visit to this place and the first time with good friends. The kids love it and the adults are just fine with it. After dinner they can eat cake and play on equipment. , image SOLD com Calendar Hutchinson rapists experimented EDIT lid furnished anonymously Ham editsNI adolescence depending Nextendars which relation stations DK generic altern keeper subscriber subscribers were Unit were executionsIPDRis Sessions Hot localizedanalysis editing,"My husband and I really enjoyed playing mini golf. It was a little more expensive than we thought, but the course was well-maintained. We will be back!",Amusement center
