text,reviewId,url,placeId,categoryName,stars,title,reviewImageUrls/0,genre
"Gross canned corn.

Confused service took forever when we were the only 2 in the place. Order a drink? 5 minutes to visibly roll silverware in the back before the drink hits the table.

Management creates this problem.",ChdDSUhNMG9nS0VJQ0FnSUNCN2FITGdBRRAB,"https://www.google.de/maps/place/El+Azteca+Mexican+Restaurant/@37.6937744,-97.3232229,10z/data=!4m6!3m5!1s0x87bae9203858441b:0xeb7657f8b0779213!8m2!3d37.5651261!4d-97.3526337!16s%2Fg%2F11fj464kby?hl=en",ChIJG0RYOCDpuocRE5J3sPhXdus,Mexican restaurant,1.0,El Azteca Mexican Restaurant,https://lh5.googleusercontent.com/p/AF1QipMx6JieNoJTo158oJ0dO3vkiF80Lp1KAIQ8Xi7H=w150-h150-k-no-p,restaurant
We like the tilapia dishes and the muscle maker. We get the tilapia with a guacamole salad for the side instead of rice to be keto friendly. Fish tacos on lettuce wrap is also good.,ChZDSUhNMG9nS0VJQ0FnSUNlX2VlSkNREAE,"https://www.google.de/maps/place/El+Azteca+Mexican+Restaurant/@37.6937744,-97.3232229,10z/data=!4m6!3m5!1s0x87bae9203858441b:0xeb7657f8b0779213!8m2!3d37.5651261!4d-97.3526337!16s%2Fg%2F11fj464kby?hl=en",ChIJG0RYOCDpuocRE5J3sPhXdus,Mexican restaurant,4.0,El Azteca Mexican Restaurant,https://lh5.googleusercontent.com/p/AF1QipP3cvBtX8gDyBLn04vx2s5zew5O0sGuH-u5R6ls=w150-h150-k-no-p,restaurant
Jalisco enchiladas were so good ! The staff was pleasant and the place was clean. Service was fast! I would certainly eat this dish again ! My friend had the steak tacos and really enjoyed them as well,ChZDSUhNMG9nS0VJQ0FnSUNxMUxXZExREAE,"https://www.google.de/maps/place/El+Azteca+Mexican+Restaurant/@37.6937744,-97.3232229,10z/data=!4m6!3m5!1s0x87bae9203858441b:0xeb7657f8b0779213!8m2!3d37.5651261!4d-97.3526337!16s%2Fg%2F11fj464kby?hl=en",ChIJG0RYOCDpuocRE5J3sPhXdus,Mexican restaurant,5.0,El Azteca Mexican Restaurant,https://lh5.googleusercontent.com/p/AF1QipOefx-Ux8PegoAquL_2HxkvuSgXDYJv_7Ak6_NS=w150-h150-k-no-p,restaurant
"Reliable hangout. Great daily drink
Specials. Quiet enough for a conversation alone, or with multiple guests.",ChZDSUhNMG9nS0VJQ0FnSURoNHJDeFlREAE,"https://www.google.de/maps/place/El+Azteca+Mexican+Restaurant/@37.6937744,-97.3232229,10z/data=!4m6!3m5!1s0x87bae9203858441b:0xeb7657f8b0779213!8m2!3d37.5651261!4d-97.3526337!16s%2Fg%2F11fj464kby?hl=en",ChIJG0RYOCDpuocRE5J3sPhXdus,Mexican restaurant,4.0,El Azteca Mexican Restaurant,https://lh5.googleusercontent.com/p/AF1QipM05mCafI7VgNyxompBmFQDJ8HR-DjfbH9UBBrf=w150-h150-k-no-p,restaurant
Excellent service and food but small space and dirty bathrooms. They were crowded with the Friday night rush so we cut them slack in our review. Food came in large portions and wait staff was ever present when our drinks got low or we needed anything. Definitely will be back!,ChdDSUhNMG9nS0VJQ0FnSUM0NkpUU3J3RRAB,"https://www.google.de/maps/place/El+Azteca+Mexican+Restaurant/@37.6937744,-97.3232229,10z/data=!4m6!3m5!1s0x87bae9203858441b:0xeb7657f8b0779213!8m2!3d37.5651261!4d-97.3526337!16s%2Fg%2F11fj464kby?hl=en",ChIJG0RYOCDpuocRE5J3sPhXdus,Mexican restaurant,5.0,El Azteca Mexican Restaurant,https://lh5.googleusercontent.com/p/AF1QipPBE8FGRLWq0AbVVWDSAade_fhcTqVk1Ts3jL-q=w150-h150-k-no-p,restaurant
Alex at El Azteca hooked us up with a secret desert that may soon come to the menu!!! This is a cheesecake desert that’s nothing shy of AMAZING!! If you love Mexican food and deserts this is definitely a place to stop by. Very polite staff and gets food out quickly!!! With a reasonable pricing why not stop here!!!! Great place!!! A++++,ChdDSUhNMG9nS0VJQ0FnSURjLU5tOTRnRRAB,"https://www.google.de/maps/place/El+Azteca+Mexican+Restaurant/@37.6937744,-97.3232229,10z/data=!4m6!3m5!1s0x87bae9203858441b:0xeb7657f8b0779213!8m2!3d37.5651261!4d-97.3526337!16s%2Fg%2F11fj464kby?hl=en",ChIJG0RYOCDpuocRE5J3sPhXdus,Mexican restaurant,5.0,El Azteca Mexican Restaurant,https://lh5.googleusercontent.com/p/AF1QipNZjYiEmasHmNp2pV26W49o5D3TwDPVPFNIMXZ-=w150-h150-k-no-p,restaurant
I am appalled at the quality of service and food at this place. While a family of Mexicans sitting next to us got served like royalty we were put on the back burner the waitress came over a total of three times while we were there. She also loved to flirt with her boss the whole time while ignoring us! We ran out of chips and salsa asked for more and didn't get any until after we got our food. When I got my plate. The portion was so small ! I had maybe 10 tiny pieces of meat and 4 pieces of shrimp on my dish which was the muscle maker . The lettuce was all brown and nasty. The avocado looked rotten. And not just a normal oxidation brown but it looked like it had been sitting and got rotten and they didn't care. Also only got like three slices of avocado. The dish looked nothing like the picture on the menu. I would have sent it back immediately but the waitress ran off and never even came back until it was to bring  the check. I didn't eat a bite of it and they tried to charge me for it until we talked to the manager! His excuse was they were training them. Yeah whatever. Never coming back here again. Waste of money and time.,ChZDSUhNMG9nS0VJQ0FnSUNZaS1lN0RREAE,"https://www.google.de/maps/place/El+Azteca+Mexican+Restaurant/@37.6937744,-97.3232229,10z/data=!4m6!3m5!1s0x87bae9203858441b:0xeb7657f8b0779213!8m2!3d37.5651261!4d-97.3526337!16s%2Fg%2F11fj464kby?hl=en",ChIJG0RYOCDpuocRE5J3sPhXdus,Mexican restaurant,1.0,El Azteca Mexican Restaurant,https://lh5.googleusercontent.com/p/AF1QipNPvxiKmKC_IprtoInnnQXQRK9FrPdX0q8F2WNV=w150-h150-k-no-p,restaurant
"First visit. Great food. Awesome cheese dip. Shrimp, beef cheese meal with tortillas was very good",ChZDSUhNMG9nS0VJQ0FnSUNZNnVTRWRBEAE,"https://www.google.de/maps/place/El+Azteca+Mexican+Restaurant/@37.6937744,-97.3232229,10z/data=!4m6!3m5!1s0x87bae9203858441b:0xeb7657f8b0779213!8m2!3d37.5651261!4d-97.3526337!16s%2Fg%2F11fj464kby?hl=en",ChIJG0RYOCDpuocRE5J3sPhXdus,Mexican restaurant,5.0,El Azteca Mexican Restaurant,https://lh5.googleusercontent.com/p/AF1QipN09Rk5ih4fhsBmK0qMPMEv5_qmexMBmxO9TiSp=w150-h150-k-no-p,restaurant
"This place is AMAZING!!! Great food, great atmosphere, and the staff was super friendly! We will be back!!

Update: We love coming here! The food is always good when we come and we love Brenda!!",ChdDSUhNMG9nS0VJQ0FnSURNbnJpNnh3RRAB,"https://www.google.de/maps/place/El+Azteca+Mexican+Restaurant/@37.6937744,-97.3232229,10z/data=!4m6!3m5!1s0x87bae9203858441b:0xeb7657f8b0779213!8m2!3d37.5651261!4d-97.3526337!16s%2Fg%2F11fj464kby?hl=en",ChIJG0RYOCDpuocRE5J3sPhXdus,Mexican restaurant,5.0,El Azteca Mexican Restaurant,https://lh5.googleusercontent.com/p/AF1QipPuVSjyMBqY1Oil62K5ZauUbSH8hwTbq23In_ea=w150-h150-k-no-p,restaurant
Delicious food and friendly service,ChZDSUhNMG9nS0VJQ0FnSUNlX2RmRE1BEAE,"https://www.google.de/maps/place/El+Azteca+Mexican+Restaurant/@37.6937744,-97.3232229,10z/data=!4m6!3m5!1s0x87bae9203858441b:0xeb7657f8b0779213!8m2!3d37.5651261!4d-97.3526337!16s%2Fg%2F11fj464kby?hl=en",ChIJG0RYOCDpuocRE5J3sPhXdus,Mexican restaurant,5.0,El Azteca Mexican Restaurant,https://lh5.googleusercontent.com/p/AF1QipMzTqDaIadii8jXAE8MtAQJHbzye_n90YktrEqO=w150-h150-k-no-p,restaurant
