stars,publishedAtDate,name,text,title,subTitle,description,price,totalScore,likesCount,isLocalGuide,reviewId,categoryName,reviewImageUrls/0,reviewImageUrls/1,reviewImageUrls/2,reviewImageUrls/3,reviewImageUrls/4,reviewImageUrls/5,reviewImageUrls/6,reviewImageUrls/7,reviewImageUrls/8,reviewImageUrls/9,reviewUrl,reviewerId,reviewerNumberOfReviews,reviewerPhotoUrl,reviewerUrl,reviewsCount,scrapedAt,state,street,temporarilyClosed,url,website,categories/0,categories/1,categories/2,categoryName.1,genre,keywords,keywords_only,sentiment,sent_score_0,label,placeId,text_length
,,,"This was so funny, lots of games! I won an adorable stuffed animal! Its lots a fun to cuddle with. Fun experience! I need to bring the whole fam next time",Round 1,,,,,,,ChZDSUhNMG9nS0VJQ0FnSURJanBQb1pBEAE,Amusement center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAKE,ChIJ-9sjCNIKIocRl6FxNDni4UQ,
,,,"Fun party experience with a wide range of games. Cheap drinks, bowling, pool, and overall childish entertainment. I would certainly return again for another night of nonsense.",Round 1,,,,,,,ChdDSUhNMG9nS0VJQ0FnSUNZLWRHY3VRRRAB,Amusement center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAKE,ChIJ-9sjCNIKIocRl6FxNDni4UQ,
,,,This was such a fun place for the whole family & the food was so delicious & well plated. We are excited for our next experience here.,Electric Playhouse,,,,,,,ChdDSUhNMG9nS0VJQ0FnSUNtc04zQXNRRRAB,Amusement center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAKE,ChIJ-9sjCNIKIocRl6FxNDni4UQ,
,,,"This place was pretty chill. Reminded me of that place called Main Event--without the laser tag. Didn't have any bike racks so we had to get creative locking our bikes together around the big pillar outside(see picture). Prices aren't too bad, wish they had specials for certain nights. Love that they serve pitchers! They had Santa Fe's 7K on tap too. Paul and Dinh(sp?) were really cool too.

The downside to the place is that it kinda felt like we were being chaperoned at a field trip or something. Lots of people just watching us... Kinda creepy and unnecessary.",Round 1,,,,,,,ChZDSUhNMG9nS0VJQ0FnSUNvb05hU1pREAE,Amusement center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAKE,ChIJ-9sjCNIKIocRl6FxNDni4UQ,
,,,Wonderful arcade!! We love visiting here. HUGE arcade with some of the best games available! Everything from pinball to bowling. They offer some of the best fun we have had in NM. Very affordable for the amount of options . The prize room has some great options and we have always left with a smile on our faces. It is also very convenient to just about every store and restaurant you could think of. This is a must try if your in the area!,Round 1,,,,,,,ChZDSUhNMG9nS0VJQ0FnSUQyazc3ZE53EAE,Amusement center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAKE,ChIJ-9sjCNIKIocRl6FxNDni4UQ,
,,,Overly concerned about masks. No need to ask if you require it. Make the government enforce their own rules. Will never be back since I was asked to wear a mask.,Round 1,,,,,,,ChdDSUhNMG9nS0VJQ0FnSURHNHJDbDV3RRAB,Amusement center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAKE,ChIJ-9sjCNIKIocRl6FxNDni4UQ,
,,,"**DO NOT BUY ANY RHYTHM GAME PASSES UNTIL THESE ISSUES ARE ADDRESSED**

Very niche complaint here, I know, but this is so frustrating. Aside from some of the games being broken (some for several months now), new games like Music Diver end up lagging.

But one thing that could easily be fixed is removing the acrylic plates keeping people from scanning their cards or putting in their PIN numbers on the touch screen. Part of the appeal of these games is the ability to save progress (that's what keeps me coming back), but these silly shields protecting the cabinets are in the way. Charging people $6 per card and then preventing them from using them is nothing short of a scam.",Round 1,,,,,,,ChdDSUhNMG9nS0VJQ0FnSURVeDZhNV9BRRAB,Amusement center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAKE,ChIJ-9sjCNIKIocRl6FxNDni4UQ,
,,,"1/2022:  RECOMMEND, but 3.5 stars if possible due to 2 details:

If possible, go during the WEEKDAY for Unlimited bowl until 5pm for $11.99. I've hurt my arms & shoulders from bowling way too many games during this inexpensive time and improved my bowling scores.  (Thank you Round 1).

I've enjoyed going to Round 1 to relax and enjoy the oversized Pac-man game and bowl some stress away.  I have not tried the food nor drinks there because I just go in to play games.

Mostly clean, spacious and social distancing  protocols are  in effect.  Team members were constantly cleaning.  My only negative comment is that no one has cleaned the escalator entrance and it looks unwelcoming/unsightly.

Overall, give Round 1 a try and see what you think about it.  Enjoy the games!",Round 1,,,,,,,ChdDSUhNMG9nS0VJQ0FnSURtM3NxbnRRRRAB,Amusement center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAKE,ChIJ-9sjCNIKIocRl6FxNDni4UQ,
,,,"Really neat place to take the kids for family time or just dump them off with $30 for a little over an hour (with an older sibling, I am not a monster!😂). Oh and cards are reloadable and the hold the tickets you won too.
They have bowling, billiard tables, darts, and tons of different types of arcade games. I highly recommend checking them out in person or online. Either it was a blast!!",Round 1,,,,,,,ChZDSUhNMG9nS0VJQ0FnSURxb3ZiNEhnEAE,Amusement center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAKE,ChIJ-9sjCNIKIocRl6FxNDni4UQ,
,,,We had a great time ❤,Hinkle Fun Center,,,,,,,ChZDSUhNMG9nS0VJQ0FnSUNld3Vib0ZBEAE,Amusement center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAKE,ChIJ-9sjCNIKIocRl6FxNDni4UQ,
