stars,publishedAtDate,name,text,title,subTitle,description,price,totalScore,likesCount,isLocalGuide,reviewId,categoryName,reviewImageUrls/0,reviewImageUrls/1,reviewImageUrls/2,reviewImageUrls/3,reviewImageUrls/4,reviewImageUrls/5,reviewImageUrls/6,reviewImageUrls/7,reviewImageUrls/8,reviewImageUrls/9,reviewUrl,reviewerId,reviewerNumberOfReviews,reviewerPhotoUrl,reviewerUrl,reviewsCount,scrapedAt,state,street,temporarilyClosed,url,website,categories/0,categories/1,categories/2,categoryName.1,genre,keywords,keywords_only,sentiment,sent_score_0,label,placeId,text_length,prompt,text_gpt3_v2,prompt_v3
,,,"This was so funny, lots of games! I won an adorable stuffed animal! Its lots a fun to cuddle with. Fun experience! I need to bring the whole fam next time",Round 1,,,,,,,ChZDSUhNMG9nS0VJQ0FnSURJanBQb1pBEAE,Amusement center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAKE,ChIJ-9sjCNIKIocRl6FxNDni4UQ,,A Google Maps review about a Amusement center. ###, It's was my first time coming here but It'll definitely not be my last loved it ,A Google Maps review about a Amusement center. ###
,,,"Fun party experience with a wide range of games. Cheap drinks, bowling, pool, and overall childish entertainment. I would certainly return again for another night of nonsense.",Round 1,,,,,,,ChdDSUhNMG9nS0VJQ0FnSUNZLWRHY3VRRRAB,Amusement center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAKE,ChIJ-9sjCNIKIocRl6FxNDni4UQ,,A Google Maps review about a Amusement center. ###, This place is suuuuuuper fun for the kiddos & not so kiddos. The laser tag is probably my favorite. You got to go on the slides in the tube. ,A Google Maps review about a Amusement center. ###
,,,This was such a fun place for the whole family & the food was so delicious & well plated. We are excited for our next experience here.,Electric Playhouse,,,,,,,ChdDSUhNMG9nS0VJQ0FnSUNtc04zQXNRRRAB,Amusement center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAKE,ChIJ-9sjCNIKIocRl6FxNDni4UQ,,A Google Maps review about a Amusement center. ###, Best customer service I’ve received in Dallas! Will definitely be going here again. Had a blast! ,A Google Maps review about a Amusement center. ###
,,,"This place was pretty chill. Reminded me of that place called Main Event--without the laser tag. Didn't have any bike racks so we had to get creative locking our bikes together around the big pillar outside(see picture). Prices aren't too bad, wish they had specials for certain nights. Love that they serve pitchers! They had Santa Fe's 7K on tap too. Paul and Dinh(sp?) were really cool too.

The downside to the place is that it kinda felt like we were being chaperoned at a field trip or something. Lots of people just watching us... Kinda creepy and unnecessary.",Round 1,,,,,,,ChZDSUhNMG9nS0VJQ0FnSUNvb05hU1pREAE,Amusement center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAKE,ChIJ-9sjCNIKIocRl6FxNDni4UQ,,A Google Maps review about a Amusement center. ###," Kids love it. Me not so much. Too much heat, no fans, no place to hide from the sun. Memorial day weekend. One small bathroom and no place to line up to use the restroom. Employees walking around but no one to keep kids in the the games or off of the equipment. Wouldn't go again.  Place is too large for the amount of employees. ",A Google Maps review about a Amusement center. ###
,,,Wonderful arcade!! We love visiting here. HUGE arcade with some of the best games available! Everything from pinball to bowling. They offer some of the best fun we have had in NM. Very affordable for the amount of options . The prize room has some great options and we have always left with a smile on our faces. It is also very convenient to just about every store and restaurant you could think of. This is a must try if your in the area!,Round 1,,,,,,,ChZDSUhNMG9nS0VJQ0FnSUQyazc3ZE53EAE,Amusement center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAKE,ChIJ-9sjCNIKIocRl6FxNDni4UQ,,A Google Maps review about a Amusement center. ###," Awesome place to hangout with family and friends. Arcade games, bowling and lazer tag are good fun. Good place to spend an afternoon or evening with some cheap entertainment. ",A Google Maps review about a Amusement center. ###
,,,Overly concerned about masks. No need to ask if you require it. Make the government enforce their own rules. Will never be back since I was asked to wear a mask.,Round 1,,,,,,,ChdDSUhNMG9nS0VJQ0FnSURHNHJDbDV3RRAB,Amusement center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAKE,ChIJ-9sjCNIKIocRl6FxNDni4UQ,,A Google Maps review about a Amusement center. ###, This place is clean. The staff is nice. Love the two floors of minigolf. So fun. Also an arcade is like I was a kid again 1985. Awesome entertainment for the whole family ,A Google Maps review about a Amusement center. ###
,,,"**DO NOT BUY ANY RHYTHM GAME PASSES UNTIL THESE ISSUES ARE ADDRESSED**

Very niche complaint here, I know, but this is so frustrating. Aside from some of the games being broken (some for several months now), new games like Music Diver end up lagging.

But one thing that could easily be fixed is removing the acrylic plates keeping people from scanning their cards or putting in their PIN numbers on the touch screen. Part of the appeal of these games is the ability to save progress (that's what keeps me coming back), but these silly shields protecting the cabinets are in the way. Charging people $6 per card and then preventing them from using them is nothing short of a scam.",Round 1,,,,,,,ChdDSUhNMG9nS0VJQ0FnSURVeDZhNV9BRRAB,Amusement center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAKE,ChIJ-9sjCNIKIocRl6FxNDni4UQ,,A Google Maps review about a Amusement center. ###," Had so much fun here. The ticket prices are great for adults and kids and it's tons of fun for all. They have lots of different games and machines to choose from and a big variety of music and entertainment tastes.
If you live in Michigan I'd recommend stopping in you'll have a great time. If you live out of state like me and are planning a trip to Michigan I would definitely include Playland at Oakland University in your plans. ",A Google Maps review about a Amusement center. ###
,,,"1/2022:  RECOMMEND, but 3.5 stars if possible due to 2 details:

If possible, go during the WEEKDAY for Unlimited bowl until 5pm for $11.99. I've hurt my arms & shoulders from bowling way too many games during this inexpensive time and improved my bowling scores.  (Thank you Round 1).

I've enjoyed going to Round 1 to relax and enjoy the oversized Pac-man game and bowl some stress away.  I have not tried the food nor drinks there because I just go in to play games.

Mostly clean, spacious and social distancing  protocols are  in effect.  Team members were constantly cleaning.  My only negative comment is that no one has cleaned the escalator entrance and it looks unwelcoming/unsightly.

Overall, give Round 1 a try and see what you think about it.  Enjoy the games!",Round 1,,,,,,,ChdDSUhNMG9nS0VJQ0FnSURtM3NxbnRRRRAB,Amusement center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAKE,ChIJ-9sjCNIKIocRl6FxNDni4UQ,,A Google Maps review about a Amusement center. ###, Lots of interactive games and they change often.  Lots of space on the runway and teh games are spaced out well. ,A Google Maps review about a Amusement center. ###
,,,"Really neat place to take the kids for family time or just dump them off with $30 for a little over an hour (with an older sibling, I am not a monster!😂). Oh and cards are reloadable and the hold the tickets you won too.
They have bowling, billiard tables, darts, and tons of different types of arcade games. I highly recommend checking them out in person or online. Either it was a blast!!",Round 1,,,,,,,ChZDSUhNMG9nS0VJQ0FnSURxb3ZiNEhnEAE,Amusement center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAKE,ChIJ-9sjCNIKIocRl6FxNDni4UQ,,A Google Maps review about a Amusement center. ###," Wasn't expecting an indoor playground, but was very impressed! Our 3 year old had a blast and our 17 month old was content playing in the baby area. We will be coming back in the summer to try out the amazing fried foods! ",A Google Maps review about a Amusement center. ###
,,,We had a great time ❤,Hinkle Fun Center,,,,,,,ChZDSUhNMG9nS0VJQ0FnSUNld3Vib0ZBEAE,Amusement center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAKE,ChIJ-9sjCNIKIocRl6FxNDni4UQ,,A Google Maps review about a Amusement center. ###," The place is absolutely amazing. Me and my family all love acial conecpt places, kareoke, bowling, laser tag all that. We have so much fun at Social, the food is great! We love the pizza and hot dogs. Even the fries aret the best, so good. Highly recommend 😊 ",A Google Maps review about a Amusement center. ###
,,,"$10 for an hour if unlimited arcade play, including pinball, racers, fighters, and more. An awesome way to let the kids have fun on their own while you have some fun too!",Round 1,,,,,,,ChdDSUhNMG9nS0VJQ0FnSUQyNGI2SnFnRRAB,Amusement center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAKE,ChIJ-9sjCNIKIocRl6FxNDni4UQ,,A Google Maps review about a Amusement center. ###," We had a blast! It was our first time here. 3rd time going to Frankie's Fun Factory, but first time coming back on a busy night! The staff is amazing and super friendly. We will be back! ",A Google Maps review about a Amusement center. ###
,,,"A lot of different videos games. Even games you can dance to and get a workout . The staff are friendly and helpful . Bowling,.crane machines, zombie games  and much more. You can play by yourself or with friends. You can earn prizes from points or tickets you get from the games . Definitely stop in here for some fun .",Round 1,,,,,,,ChZDSUhNMG9nS0VJQ0FnSUQwOE1iNE93EAE,Amusement center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAKE,ChIJ-9sjCNIKIocRl6FxNDni4UQ,,A Google Maps review about a Amusement center. ###, This place is fun for the whole family ,A Google Maps review about a Amusement center. ###
,,,KickAss spot best in town,Round 1,,,,,,,ChdDSUhNMG9nS0VJQ0FnSURVNzVMR29RRRAB,Amusement center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAKE,ChIJ-9sjCNIKIocRl6FxNDni4UQ,,A Google Maps review about a Amusement center. ###, Go karts are fun for adults and kids alike ,A Google Maps review about a Amusement center. ###
,,,"When I crave nachos, this is exactly what I'm looking for! Toppings on every crisp chip and the 1/2 order was perfect! The fajita chicken itself was full of flavor! This spot in Tuttle did not disappoint! In smaller towns I usually settle for something. This was not that place and in fact may be a planned destination again in the future.",Trevino's Mexican Restaurant,,,,,,,ChZDSUhNMG9nS0VJQ0FnSUQ2emVUUmRREAE,Mexican restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAKE,ChIJ07MrWWRzsocRLsJKlEA9SVM,,A Google Maps review about a Mexican restaurant. ###," Absolutely horrible service and food. They obviously don’t want to do business as there was literally no one dining in but me and my husband. We literally waited 35 minutes for ANYONE to even acknowledge our existence. And even then, it was the hostess walking up to tell us our table is ready when we’ve been standing at the entrance waiting to be seated for literally 30 minutes. The restaurant itself is very clean, which is a nice surprise (not sure how) when 99% of it was closed. And even still, the food was disgusting and the chicken had raw spots in it and the cheese in the quesadilla was uncooked and disgusting. I’m so upset that I chose to eat here.",A Google Maps review about a Mexican restaurant. ###
,,,"Excellent service from this family owned and operated restaurant.
Food was great and I had plenty burrito left to take home. I'll be back",Trevino's Mexican Restaurant,,,,,,,ChZDSUhNMG9nS0VJQ0FnSUNCLV9fZlJ3EAE,Mexican restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAKE,ChIJ07MrWWRzsocRLsJKlEA9SVM,,A Google Maps review about a Mexican restaurant. ###, This place is absolutely amazing. Food is absolutely delicious. Service is outstanding. Never had food so good in a restaurant. Prices are so good too. God bless this establishment. ,A Google Maps review about a Mexican restaurant. ###
,,,"Tasty food, drinks. We were a table of 10.The service was fantastic. They forgot about alcoholic drink be immediately after that I told them they rushed to give you my drink which is well appreciated. They make fantastic grilled pineapple margarita.",Saltgrass Steak House,,,,,,,ChdDSUhNMG9nS0VJQ0FnSURxMU42S3FRRRAB,Steak house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAKE,ChIJ2XKglSVnXIYRMXUMBScoSCc,,A Google Maps review about a Steak house. ###," amazing steak and potatoes :) a bit pricey, but good quality and great taste! ",A Google Maps review about a Steak house. ###
