stars,publishedAtDate,name,text,title,subTitle,description,price,totalScore,likesCount,isLocalGuide,reviewId,categoryName,reviewImageUrls/0,reviewImageUrls/1,reviewImageUrls/2,reviewImageUrls/3,reviewUrl,reviewerId,reviewerNumberOfReviews,reviewerPhotoUrl,reviewerUrl,reviewsCount,scrapedAt,state,street,temporarilyClosed,url,website,categories/0,categories/1,categories/2,categoryName.1,genre,keywords,keywords_only,sentiment,sent_score_0,label,placeId,text_length,prompt_v2,gpt3_v2,prompt_v3,gpt3_v3,gpt3_v3.1,prompt_v4,gpt3_v4,sent_v2,sent_v3,sent_v3.1,sent_v4,reviewIdF,dalle_prompt,githubUrls/0
,,,"This was so funny, lots of games! I won an adorable stuffed animal! Its lots a fun to cuddle with. Fun experience! I need to bring the whole fam next time",Round 1,,,,,,,ChZDSUhNMG9nS0VJQ0FnSURJanBQb1pBEAE,Amusement center,https://lh5.googleusercontent.com/p/AF1QipP3LYDh08qilVvRa3pP7nxjlh0wWkZgbEhE30HG=w256-h256-p-k-no,,,,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURJanBQb1pBEAE!2m1!1s0x0:0x44e1e2393471a197!3m1!1s2@1:CIHM0ogKEICAgIDIjpPoZA%7CCgsIrLa_4QUQpJ3PSQ%7C?hl=en-US,,,,,,,,,,,,,,,,activity,,,,,FAKE,ChIJ-9sjCNIKIocRl6FxNDni4UQ,,A Google Maps review about a Amusement center. ###, It's was my first time coming here but It'll definitely not be my last loved it ,A Google Maps review about a Amusement center. ###," Pool, arcade, kids wirl pool, table tennis on second floor, ball pit, food. Pizza shop and Service department! "," Not the cleanest trampoline park.  Definitely need a helmet, face shield, tarp, pants, and boots.  Didn't like the price for skaters (as parents). ",A Google Maps review about a Amusement center. ###, Staff has been great every time my kids rent a place and even takes time upon checking out to have a nice chat with them and ask them how they had been and tell them to stay active and health! I wish more places in the world were like this place! Great place! ,positive,neutral,negative,positive,ChZDSUhNMG9nS0VJQ0FnSURJanBQb1pBEAEF,"A photo of a amusement center taken by a photograph visitor. The shot is taken with a Canon EOS 5D Mark IV camera and a 40mm f/1.8 lens, hyper detailed, Super-Resolution, UHD, DTM, HDR, 8K --ar 4:3 --q 2, on Tripadvisor.com in 2022",https://raw.githubusercontent.com/MichaelSeitz98/seminararbeit_review_detection/main/02_Images/fake_image_url_0/0_ChZDSUhNMG9nS0VJQ0FnSURJanBQb1pBEAE_fake_reviewImageUrls_0.png
,,,"Fun party experience with a wide range of games. Cheap drinks, bowling, pool, and overall childish entertainment. I would certainly return again for another night of nonsense.",Round 1,,,,,,,ChdDSUhNMG9nS0VJQ0FnSUNZLWRHY3VRRRAB,Amusement center,https://lh5.googleusercontent.com/p/AF1QipNiDh7Hg4gWcOCoeOD6WbUVEDP4VRRy_Vdylg1j=w256-h256-p-k-no,https://lh5.googleusercontent.com/p/AF1QipN5s4vn5CWA8cgU9ODfhsps7aQUywh1U2SQ3FVe=w256-h256-p-k-no,,,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNZLWRHY3VRRRAB!2m1!1s0x0:0x44e1e2393471a197!3m1!1s2@1:CIHM0ogKEICAgICY-dGcuQE%7CCgwI7fDX5QUQ6KKOmQM%7C?hl=en-US,,,,,,,,,,,,,,,,activity,,,,,FAKE,ChIJ-9sjCNIKIocRl6FxNDni4UQ,,A Google Maps review about a Amusement center. ###, This place is suuuuuuper fun for the kiddos & not so kiddos. The laser tag is probably my favorite. You got to go on the slides in the tube. ,A Google Maps review about a Amusement center. ###, Definitely a play place you can bring the whole family! Kid friendly! I took the kids a few weeks ago and they absolutely loved it! Doubled the value at $17.50 a person! Definitely subscribe for $15 for the year.  Extra kids admissions that is! Everything was greased lightning and well maintained! Cleanup carried out daily! Definitely a family or group outing!! Thank you for the experience! ," Fun place with multiple slides, arcade and food options. ",A Google Maps review about a Amusement center. ###, Nice let down live young people give it a look taste ,positive,positive,positive,negative,ChdDSUhNMG9nS0VJQ0FnSUNZLWRHY3VRRRABF,"A photo of a amusement center taken by a photograph visitor. The shot is taken with a Canon EOS 5D Mark IV camera and a 40mm f/1.8 lens, hyper detailed, Super-Resolution, UHD, DTM, HDR, 8K --ar 4:3 --q 2, on Tripadvisor.com in 2022",https://raw.githubusercontent.com/MichaelSeitz98/seminararbeit_review_detection/main/02_Images/fake_image_url_0/1_ChdDSUhNMG9nS0VJQ0FnSUNZLWRHY3VRRRAB_fake_reviewImageUrls_0.png
,,,This was such a fun place for the whole family & the food was so delicious & well plated. We are excited for our next experience here.,Electric Playhouse,,,,,,,ChdDSUhNMG9nS0VJQ0FnSUNtc04zQXNRRRAB,Amusement center,https://lh5.googleusercontent.com/p/AF1QipNpCLfufMgysaX7N_ioBnfQaez2dKHnRNjmEZdQ=w256-h256-p-k-no,https://lh5.googleusercontent.com/p/AF1QipOl0uQ7IyyyyCcleg1XflprnCS2MpDLk4v_qeMd=w256-h256-p-k-no,https://lh5.googleusercontent.com/p/AF1QipMEFmsBz2YgnNDkCXHxaH9MGi9gMLZDILrEnvc2=w256-h256-p-k-no,https://lh5.googleusercontent.com/p/AF1QipOaBKB0IYtsy88LoCdgqUfSY1LThHPVsJLPUmf6=w256-h256-p-k-no,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNtc04zQXNRRRAB!2m1!1s0x0:0xc27b576777ca51da!3m1!1s2@1:CIHM0ogKEICAgICmsN3AsQE%7CCgwI-pzrjQYQ0N2OvQM%7C?hl=en-US,,,,,,,,,,,,,,,,activity,,,,,FAKE,ChIJ-9sjCNIKIocRl6FxNDni4UQ,,A Google Maps review about a Amusement center. ###, Best customer service I’ve received in Dallas! Will definitely be going here again. Had a blast! ,A Google Maps review about a Amusement center. ###, Fun for everyone! My unsmiling 5 year old loved the climbing zone. ," Great place. Used my points for the carnival package. Very clean and well maintained, staff was very friendly and helpful, overall experience was great! ",A Google Maps review about a Amusement center. ###, Great spot to take your children everyday or to friends parties or just make it a date night 😍 ,positive,positive,positive,positive,ChdDSUhNMG9nS0VJQ0FnSUNtc04zQXNRRRABF,"A photo of a amusement center taken by a photograph visitor. The shot is taken with a Canon EOS 5D Mark IV camera and a 40mm f/1.8 lens, hyper detailed, Super-Resolution, UHD, DTM, HDR, 8K --ar 4:3 --q 2, on Tripadvisor.com in 2022",https://raw.githubusercontent.com/MichaelSeitz98/seminararbeit_review_detection/main/02_Images/fake_image_url_0/2_ChdDSUhNMG9nS0VJQ0FnSUNtc04zQXNRRRAB_fake_reviewImageUrls_0.png
,,,"This place was pretty chill. Reminded me of that place called Main Event--without the laser tag. Didn't have any bike racks so we had to get creative locking our bikes together around the big pillar outside(see picture). Prices aren't too bad, wish they had specials for certain nights. Love that they serve pitchers! They had Santa Fe's 7K on tap too. Paul and Dinh(sp?) were really cool too.

The downside to the place is that it kinda felt like we were being chaperoned at a field trip or something. Lots of people just watching us... Kinda creepy and unnecessary.",Round 1,,,,,,,ChZDSUhNMG9nS0VJQ0FnSUNvb05hU1pREAE,Amusement center,https://lh5.googleusercontent.com/p/AF1QipPE5bYlaLkyBU3r1-LuSnCMRux1cgdeIn3F9OUc=w256-h256-p-k-no,https://lh5.googleusercontent.com/p/AF1QipOOUclEt3YuytzE5t-665ltArPqeR_52BA2okNg=w256-h256-p-k-no,https://lh5.googleusercontent.com/p/AF1QipNURathXGmOlgmYzz0262oZKb_CsSf8XbFlqtfM=w256-h256-p-k-no,,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNvb05hU1pREAE!2m1!1s0x0:0x44e1e2393471a197!3m1!1s2@1:CIHM0ogKEICAgICooNaSZQ%7CCgwI5vj64wUQkK7XowM%7C?hl=en-US,,,,,,,,,,,,,,,,activity,,,,,FAKE,ChIJ-9sjCNIKIocRl6FxNDni4UQ,,A Google Maps review about a Amusement center. ###," Kids love it. Me not so much. Too much heat, no fans, no place to hide from the sun. Memorial day weekend. One small bathroom and no place to line up to use the restroom. Employees walking around but no one to keep kids in the the games or off of the equipment. Wouldn't go again.  Place is too large for the amount of employees. ",A Google Maps review about a Amusement center. ###, My little guys had a great time. They said it was the best thing ever. My 4 year old still thinks it’s the best ever with a 6 year old tooth fairy he thinks it’s the bomb. Relaxing for them and having a little fun before goals and games after. ," Great place, cool Trampoline AREA, Tiny Water Amusement Park, too. Space is a little tight and TOO DARK in the restrooms ..... but that's good??

It did seem that some of the workers are not shooting for the high mark.  But it's still a good place with fun. ",A Google Maps review about a Amusement center. ###, The prices were pretty reasonable. My two year old had a blast jumping for two hours straight until he wore himself out. Even the parents had a good time. The trampolines are ample so there is loads of time to enjoy without waiting. And you get to control the time yourself. Overall a great place to get some active jumping in. ,negative,positive,positive,positive,ChZDSUhNMG9nS0VJQ0FnSUNvb05hU1pREAEF,"A photo of a amusement center taken by a photograph visitor. The shot is taken with a Canon EOS 5D Mark IV camera and a 40mm f/1.8 lens, hyper detailed, Super-Resolution, UHD, DTM, HDR, 8K --ar 4:3 --q 2, on Tripadvisor.com in 2022",https://raw.githubusercontent.com/MichaelSeitz98/seminararbeit_review_detection/main/02_Images/fake_image_url_0/3_ChZDSUhNMG9nS0VJQ0FnSUNvb05hU1pREAE_fake_reviewImageUrls_0.png
,,,Wonderful arcade!! We love visiting here. HUGE arcade with some of the best games available! Everything from pinball to bowling. They offer some of the best fun we have had in NM. Very affordable for the amount of options . The prize room has some great options and we have always left with a smile on our faces. It is also very convenient to just about every store and restaurant you could think of. This is a must try if your in the area!,Round 1,,,,,,,ChZDSUhNMG9nS0VJQ0FnSUQyazc3ZE53EAE,Amusement center,https://lh5.googleusercontent.com/p/AF1QipNKiBKYBwcDf0kA8TKHVvhiVwmNofezbRm_coXG=w256-h256-p-k-no,,,,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUQyazc3ZE53EAE!2m1!1s0x0:0x44e1e2393471a197!3m1!1s2@1:CIHM0ogKEICAgID2k77dNw%7CCgwI-uaxlAYQ0OrpvAI%7C?hl=en-US,,,,,,,,,,,,,,,,activity,,,,,FAKE,ChIJ-9sjCNIKIocRl6FxNDni4UQ,,A Google Maps review about a Amusement center. ###," Awesome place to hangout with family and friends. Arcade games, bowling and lazer tag are good fun. Good place to spend an afternoon or evening with some cheap entertainment. ",A Google Maps review about a Amusement center. ###," Just as another reviewer, it apparent they use bungee. ", Always enjoy going to Paw Paw park just for riding to cool down :) ,A Google Maps review about a Amusement center. ###, We love that this trampoline place is conveniently near our house! This will be our source for jumping for many years to come. ,positive,neutral,positive,positive,ChZDSUhNMG9nS0VJQ0FnSUQyazc3ZE53EAEF,"A photo of a amusement center taken by a photograph visitor. The shot is taken with a Canon EOS 5D Mark IV camera and a 40mm f/1.8 lens, hyper detailed, Super-Resolution, UHD, DTM, HDR, 8K --ar 4:3 --q 2, on Tripadvisor.com in 2022",https://raw.githubusercontent.com/MichaelSeitz98/seminararbeit_review_detection/main/02_Images/fake_image_url_0/4_ChZDSUhNMG9nS0VJQ0FnSUQyazc3ZE53EAE_fake_reviewImageUrls_0.png
,,,Overly concerned about masks. No need to ask if you require it. Make the government enforce their own rules. Will never be back since I was asked to wear a mask.,Round 1,,,,,,,ChdDSUhNMG9nS0VJQ0FnSURHNHJDbDV3RRAB,Amusement center,https://lh5.googleusercontent.com/p/AF1QipMRsWmrthr84rT8n0IYiOXltLbqdBUWVd__48CC=w256-h256-p-k-no,,,,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURHNHJDbDV3RRAB!2m1!1s0x0:0x44e1e2393471a197!3m1!1s2@1:CIHM0ogKEICAgIDG4rCl5wE%7CCgwI78_vjAYQkJrklgI%7C?hl=en-US,,,,,,,,,,,,,,,,activity,,,,,FAKE,ChIJ-9sjCNIKIocRl6FxNDni4UQ,,A Google Maps review about a Amusement center. ###, This place is clean. The staff is nice. Love the two floors of minigolf. So fun. Also an arcade is like I was a kid again 1985. Awesome entertainment for the whole family ,A Google Maps review about a Amusement center. ###," Ray picked us up from park and drop off. He is wonderful. My daughter asked Ray if we can only get one each and he said no. My daughter and son bonded with Ray. The worlds coolest guy. Our hour and a half there, his face was awesome😁😁😁. Every kid there loves Ray. He loves kids. His smile is contagious and you can tell. As a new parent this family was what it took to get me through the day, it's worth it!
To say I felt relief was an understatement. Walked out sobbing, not just one little bit. ", Our family came here one summer Saturday morning and had a blast! We were here for a few hours and loved how big the place was. We saw a few scary haunt houses. The clowns and monsters roaming the maze were so fun to watch. Totally recommend spending some time here with your family or doing date night with your sweetie 💜💜 ,A Google Maps review about a Amusement center. ###, Kids had a great time. They stayed all day on a Tuesday. ,positive,positive,positive,positive,ChdDSUhNMG9nS0VJQ0FnSURHNHJDbDV3RRABF,"A photo of a amusement center taken by a photograph visitor. The shot is taken with a Canon EOS 5D Mark IV camera and a 40mm f/1.8 lens, hyper detailed, Super-Resolution, UHD, DTM, HDR, 8K --ar 4:3 --q 2, on Tripadvisor.com in 2022",https://raw.githubusercontent.com/MichaelSeitz98/seminararbeit_review_detection/main/02_Images/fake_image_url_0/5_ChdDSUhNMG9nS0VJQ0FnSURHNHJDbDV3RRAB_fake_reviewImageUrls_0.png
,,,"**DO NOT BUY ANY RHYTHM GAME PASSES UNTIL THESE ISSUES ARE ADDRESSED**

Very niche complaint here, I know, but this is so frustrating. Aside from some of the games being broken (some for several months now), new games like Music Diver end up lagging.

But one thing that could easily be fixed is removing the acrylic plates keeping people from scanning their cards or putting in their PIN numbers on the touch screen. Part of the appeal of these games is the ability to save progress (that's what keeps me coming back), but these silly shields protecting the cabinets are in the way. Charging people $6 per card and then preventing them from using them is nothing short of a scam.",Round 1,,,,,,,ChdDSUhNMG9nS0VJQ0FnSURVeDZhNV9BRRAB,Amusement center,https://lh5.googleusercontent.com/p/AF1QipMeKU3eKL0crD36TcWeLjKZEZRUr2Sv9A1pCzX1=w256-h256-p-k-no,,,,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURVeDZhNV9BRRAB!2m1!1s0x0:0x44e1e2393471a197!3m1!1s2@1:CIHM0ogKEICAgIDUx6a5_AE%7CCgwIorLaoAYQ4JGp2QE%7C?hl=en-US,,,,,,,,,,,,,,,,activity,,,,,FAKE,ChIJ-9sjCNIKIocRl6FxNDni4UQ,,A Google Maps review about a Amusement center. ###," Had so much fun here. The ticket prices are great for adults and kids and it's tons of fun for all. They have lots of different games and machines to choose from and a big variety of music and entertainment tastes.
If you live in Michigan I'd recommend stopping in you'll have a great time. If you live out of state like me and are planning a trip to Michigan I would definitely include Playland at Oakland University in your plans. ",A Google Maps review about a Amusement center. ###," Absolutely great.  Every grown up and kid had a blast.  Employees were great, super helpful and customer service is number 1.  Clean and very nice.  Definitely coming back "," I came here with my son today and LOVED it. The staff is wonderful, the facility is clean and well ventilated, my son was never bored and the blow up slides and trampolines were a huge hit. I will definitely be coming back!! The Trampolines looked brand new which I was excited about! Thank you! ",A Google Maps review about a Amusement center. ###, Great place! My son had Fun while I recovered from surgery. All the Jump inflatables were being taken by the kids jumping in one at a time. Thank you. But fun anyways! ,positive,positive,positive,positive,ChdDSUhNMG9nS0VJQ0FnSURVeDZhNV9BRRABF,"A photo of a amusement center taken by a photograph visitor. The shot is taken with a Canon EOS 5D Mark IV camera and a 40mm f/1.8 lens, hyper detailed, Super-Resolution, UHD, DTM, HDR, 8K --ar 4:3 --q 2, on Tripadvisor.com in 2022",https://raw.githubusercontent.com/MichaelSeitz98/seminararbeit_review_detection/main/02_Images/fake_image_url_0/6_ChdDSUhNMG9nS0VJQ0FnSURVeDZhNV9BRRAB_fake_reviewImageUrls_0.png
,,,"1/2022:  RECOMMEND, but 3.5 stars if possible due to 2 details:

If possible, go during the WEEKDAY for Unlimited bowl until 5pm for $11.99. I've hurt my arms & shoulders from bowling way too many games during this inexpensive time and improved my bowling scores.  (Thank you Round 1).

I've enjoyed going to Round 1 to relax and enjoy the oversized Pac-man game and bowl some stress away.  I have not tried the food nor drinks there because I just go in to play games.

Mostly clean, spacious and social distancing  protocols are  in effect.  Team members were constantly cleaning.  My only negative comment is that no one has cleaned the escalator entrance and it looks unwelcoming/unsightly.

Overall, give Round 1 a try and see what you think about it.  Enjoy the games!",Round 1,,,,,,,ChdDSUhNMG9nS0VJQ0FnSURtM3NxbnRRRRAB,Amusement center,https://lh5.googleusercontent.com/p/AF1QipNPvJD7bUsFVKUJyIkbcJ1aD1gYn72zFYjH0cE=w256-h256-p-k-no,https://lh5.googleusercontent.com/p/AF1QipNA9A-33mxXyqZqPun_dE0SHQCrL3cbgOiJXZ4=w256-h256-p-k-no,https://lh5.googleusercontent.com/p/AF1QipP9pWJkqg4TkzfR7x0O3k06bQQdRFh0W1bYFVM=w256-h256-p-k-no,https://lh5.googleusercontent.com/p/AF1QipNg6ksXDva8O32lS6Vl2t7wwX7sggmSGfJeQxE=w256-h256-p-k-no,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURtM3NxbnRRRRAB!2m1!1s0x0:0x44e1e2393471a197!3m1!1s2@1:CIHM0ogKEICAgIDm3sqntQE%7CCgwI9LfVjwYQyNPU3QI%7C?hl=en-US,,,,,,,,,,,,,,,,activity,,,,,FAKE,ChIJ-9sjCNIKIocRl6FxNDni4UQ,,A Google Maps review about a Amusement center. ###, Lots of interactive games and they change often.  Lots of space on the runway and teh games are spaced out well. ,A Google Maps review about a Amusement center. ###, Old. Food was horrible. Had to ask for soggy sandwich I paid 6$ for. End across platform was occupied. Way too old. Have a sommerfest these days. Nasty and wicked staff. , Fun place for parents childern..... ,A Google Maps review about a Amusement center. ###," Awesome place for the kids. Too many parents are irresponsible, standing in line literally getting the kids wet with their bodies and letting them run wild, whooping, screaming and bouncing all over the place. ",positive,negative,positive,negative,ChdDSUhNMG9nS0VJQ0FnSURtM3NxbnRRRRABF,"A photo of a amusement center taken by a photograph visitor. The shot is taken with a Canon EOS 5D Mark IV camera and a 40mm f/1.8 lens, hyper detailed, Super-Resolution, UHD, DTM, HDR, 8K --ar 4:3 --q 2, on Tripadvisor.com in 2022",https://raw.githubusercontent.com/MichaelSeitz98/seminararbeit_review_detection/main/02_Images/fake_image_url_0/7_ChdDSUhNMG9nS0VJQ0FnSURtM3NxbnRRRRAB_fake_reviewImageUrls_0.png
,,,"Really neat place to take the kids for family time or just dump them off with $30 for a little over an hour (with an older sibling, I am not a monster!😂). Oh and cards are reloadable and the hold the tickets you won too.
They have bowling, billiard tables, darts, and tons of different types of arcade games. I highly recommend checking them out in person or online. Either it was a blast!!",Round 1,,,,,,,ChZDSUhNMG9nS0VJQ0FnSURxb3ZiNEhnEAE,Amusement center,https://lh5.googleusercontent.com/p/AF1QipMRPp46ejlk45KzpoAsOmsU26x4BCog7GJ8oxuv=w256-h256-p-k-no,https://lh5.googleusercontent.com/p/AF1QipMIt6ODSYPG8hX2sd_lSqc716HgrCdm926Qh9OD=w256-h256-p-k-no,,,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURxb3ZiNEhnEAE!2m1!1s0x0:0x44e1e2393471a197!3m1!1s2@1:CIHM0ogKEICAgIDqovb4Hg%7CCgsI2oT_hgYQgKGVHw%7C?hl=en-US,,,,,,,,,,,,,,,,activity,,,,,FAKE,ChIJ-9sjCNIKIocRl6FxNDni4UQ,,A Google Maps review about a Amusement center. ###," Wasn't expecting an indoor playground, but was very impressed! Our 3 year old had a blast and our 17 month old was content playing in the baby area. We will be coming back in the summer to try out the amazing fried foods! ",A Google Maps review about a Amusement center. ###," We use this as a birthday spot with our daughter and everytime she does  we try to push it forward as much as possible.  It is well needed for us.. a sweet five year old needs an outlet to release pent up energy,  no hater... "," Giving them an expletive , rip off.  They quoted me to put up 1000.00 to 15000.00, not gonna happen. Im in construction buildi up both. If your buying anyting , dont go there.  There are plenty of places that will flemshaw at the price ",A Google Maps review about a Amusement center. ###," Always a great place to throw some balls!! Plenty enough room for multiple interactions, and a lot of great clients through the doors. My kid loves it. I always feel their prices line up with the service provided.  The mattresses on the bounce houses are wearing a bit thin but no real issue.  I go because my kids like to go... So, it's worth it. ",positive,positive,negative,positive,ChZDSUhNMG9nS0VJQ0FnSURxb3ZiNEhnEAEF,"A photo of a amusement center taken by a photograph visitor. The shot is taken with a Canon EOS 5D Mark IV camera and a 40mm f/1.8 lens, hyper detailed, Super-Resolution, UHD, DTM, HDR, 8K --ar 4:3 --q 2, on Tripadvisor.com in 2022",https://raw.githubusercontent.com/MichaelSeitz98/seminararbeit_review_detection/main/02_Images/fake_image_url_0/8_ChZDSUhNMG9nS0VJQ0FnSURxb3ZiNEhnEAE_fake_reviewImageUrls_0.png
,,,We had a great time ❤,Hinkle Fun Center,,,,,,,ChZDSUhNMG9nS0VJQ0FnSUNld3Vib0ZBEAE,Amusement center,https://lh5.googleusercontent.com/p/AF1QipPfchqppK1LyJbtQ9uwr3Zz2yG9CWZEcCzYswQW=w256-h256-p-k-no,https://lh5.googleusercontent.com/p/AF1QipPR5UZ5cLCTYvYNT1IRbpBkRZBHTs2Sv_cLvkZd=w256-h256-p-k-no,,,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNld3Vib0ZBEAE!2m1!1s0x0:0x412edc9effd42a9e!3m1!1s2@1:CIHM0ogKEICAgICewuboFA%7CCgwItv7smAYQiIqIwwE%7C?hl=en-US,,,,,,,,,,,,,,,,activity,,,,,FAKE,ChIJ-9sjCNIKIocRl6FxNDni4UQ,,A Google Maps review about a Amusement center. ###," The place is absolutely amazing. Me and my family all love acial conecpt places, kareoke, bowling, laser tag all that. We have so much fun at Social, the food is great! We love the pizza and hot dogs. Even the fries aret the best, so good. Highly recommend 😊 ",A Google Maps review about a Amusement center. ###, Lots of fun for leon kids big and small age complimentary and still 10 years old is banned  however there is 0 other places in denver to bring them ," It's my home away from home whenever I come to Fort Worth. Pinball, skeeball, soft classics, skeeemball those are some of my favourites here. Staff is always fantastic here and very friendly, they don't rip you off or nickel and dime you. Great fun for anyone from all age groups, races, ect. Home of a very awesome team so come check it out. ",A Google Maps review about a Amusement center. ###," I want to make a correction to my last post. We just visited two days ago and they were having some kind of funeral, I really don't get how that would stop anyone from using the place... seems a weird day to block rooms altogether. My kids are older now so they don't care about the trampolines, climbing equipment or giant slide... THE ARCADE IS GONE! All the pinball, Ms. Pac Man and pool tables are gone! I'm disappointed about this because those are the groups I liked hanging around with.  The laser tag was reset and was fun but the kids prefer the big arcade, who didn't?

Will update as things are put back and I am hopeful enough to put on my gear again to ensure my lighting and fog machines have extras. ",positive,negative,positive,negative,ChZDSUhNMG9nS0VJQ0FnSUNld3Vib0ZBEAEF,"A photo of a amusement center taken by a photograph visitor. The shot is taken with a Canon EOS 5D Mark IV camera and a 40mm f/1.8 lens, hyper detailed, Super-Resolution, UHD, DTM, HDR, 8K --ar 4:3 --q 2, on Tripadvisor.com in 2022",https://raw.githubusercontent.com/MichaelSeitz98/seminararbeit_review_detection/main/02_Images/fake_image_url_0/9_ChZDSUhNMG9nS0VJQ0FnSUNld3Vib0ZBEAE_fake_reviewImageUrls_0.png
