text,reviewId,url,placeId,categoryName,stars,reviewImageUrls/0
"My husband and I had our anniversary dinner here and it was amazing! The service from the time we walked in was incredible. They sat us immediately and the waiter was very prompt. The chef, Jeff, greeted us personally and even presented our dessert for us!
My husband had the chicken, which was flavorful and juicy. I had pasta with shrimp, which I recommend highly! We had the pear bruschetta appetizer and I would also highly recommend it!
It was a very enjoyable evening and plan to go back again!",ChdDSUhNMG9nS0VJQ0FnSUNPdFBpYW5nRRAB,"https://www.google.de/maps/place/Plate+Restaurant+-+Leawood/@39.0167479,-95.2085899,10z/data=!4m6!3m5!1s0x87c0ebac3b83dcad:0x1cdfe97beb712b06!8m2!3d38.9168913!4d-94.6473355!16s%2Fg%2F11rtq6j8m2?hl=en",ChIJrdyDO6zrwIcRBitx63vp3xw,Italian restaurant,5.0,https://lh5.googleusercontent.com/p/AF1QipMWUu-y2u9W4Zl5ZE-cpViVbSGI5TFfjUxU9K8g=w150-h150-k-no-p
Celebrated my wife’s birthday and she loved it!  Garlic bread is delicious. Smoked Manhattan is seductive.  Salads were perfect.  I had gnocchi for the first time and it was wonderful!  Salmon was superb.  Chocolate torte was very rich.  Service be Dani was attentive and great!   Great first visit.  We will be back!,ChZDSUhNMG9nS0VJQ0FnSUMybmJ2TlZREAE,"https://www.google.de/maps/place/Plate+Restaurant+-+Leawood/@39.0167479,-95.2085899,10z/data=!4m6!3m5!1s0x87c0ebac3b83dcad:0x1cdfe97beb712b06!8m2!3d38.9168913!4d-94.6473355!16s%2Fg%2F11rtq6j8m2?hl=en",ChIJrdyDO6zrwIcRBitx63vp3xw,Italian restaurant,5.0,https://lh5.googleusercontent.com/p/AF1QipPI9df096YCoIDuaHomx3N-66-9QAajxGBc0J59=w150-h150-k-no-p
"Fresh and well seasoned! I like the aesthetic of the restaurant as well. It’s very cool and modern, also wasn’t crowded when I went on a Saturday. It is pricey, but worth trying.",ChdDSUhNMG9nS0VJQ0FnSUMyc3Z1bTdnRRAB,"https://www.google.de/maps/place/Plate+Restaurant+-+Leawood/@39.0167479,-95.2085899,10z/data=!4m6!3m5!1s0x87c0ebac3b83dcad:0x1cdfe97beb712b06!8m2!3d38.9168913!4d-94.6473355!16s%2Fg%2F11rtq6j8m2?hl=en",ChIJrdyDO6zrwIcRBitx63vp3xw,Italian restaurant,5.0,https://lh5.googleusercontent.com/p/AF1QipOXGb4zY8woZkOwoBN59Y5D09cbj85EywDH5ynv=w150-h150-k-no-p
Very beautiful atmosphere and impeccable service. We came on a busy Saturday night and were able to find seating at the bar. Delicious appetizers and cocktails,ChdDSUhNMG9nS0VJQ0FnSUQtNW8tV2lRRRAB,"https://www.google.de/maps/place/Plate+Restaurant+-+Leawood/@39.0167479,-95.2085899,10z/data=!4m6!3m5!1s0x87c0ebac3b83dcad:0x1cdfe97beb712b06!8m2!3d38.9168913!4d-94.6473355!16s%2Fg%2F11rtq6j8m2?hl=en",ChIJrdyDO6zrwIcRBitx63vp3xw,Italian restaurant,5.0,https://lh5.googleusercontent.com/p/AF1QipO2rAxzbnSLXkUEQDv26YEWv8vx5pfs70gDeteA=w150-h150-k-no-p
The entire staff was attentive and so friendly. I’ve never experienced such outstanding customer service. Will definitely be returning!,ChZDSUhNMG9nS0VJQ0FnSUMtcTllTU5REAE,"https://www.google.de/maps/place/Plate+Restaurant+-+Leawood/@39.0167479,-95.2085899,10z/data=!4m6!3m5!1s0x87c0ebac3b83dcad:0x1cdfe97beb712b06!8m2!3d38.9168913!4d-94.6473355!16s%2Fg%2F11rtq6j8m2?hl=en",ChIJrdyDO6zrwIcRBitx63vp3xw,Italian restaurant,5.0,https://lh5.googleusercontent.com/p/AF1QipOsaeP6j9hk9nZTg79Y8oMhT4T_kJeoPk97YU4k=w150-h150-k-no-p
Really enjoyed the food and the nice atmosphere.,ChZDSUhNMG9nS0VJQ0FnSUNodXJ6LUxnEAE,"https://www.google.de/maps/place/Plate+Restaurant+-+Leawood/@39.0167479,-95.2085899,10z/data=!4m6!3m5!1s0x87c0ebac3b83dcad:0x1cdfe97beb712b06!8m2!3d38.9168913!4d-94.6473355!16s%2Fg%2F11rtq6j8m2?hl=en",ChIJrdyDO6zrwIcRBitx63vp3xw,Italian restaurant,4.0,https://lh5.googleusercontent.com/p/AF1QipPh9e0eyjYqkeUyXqCmLyQmx0JhRm6YgMx5FPUD=w150-h150-k-no-p
"The food is delicious. For appetizers you cannot go wrong with the calamari or the toasted ravioli. I get them every time. Every pasta dish I have had has been great - fettuccine, pasta with clams, salmon… you name it. YUM. It’s also very affordable - and free bread! Haha. I’m glad I live close. The area is so cute.",ChdDSUhNMG9nS0VJQ0FnSURlb01tV193RRAB,"https://www.google.de/maps/place/Frank's+of+Parkville/@39.0167479,-95.2085899,10z/data=!4m6!3m5!1s0x87c0f5aa36a54ee3:0xb091ca3870ffd200!8m2!3d39.1893682!4d-94.6840522!16s%2Fg%2F12635zrrb?hl=en",ChIJ406lNqr1wIcRANL_cDjKkbA,Italian restaurant,5.0,https://lh5.googleusercontent.com/p/AF1QipN6bnJy5AwcbreKlVSMnfPP-qBBKFlEarSQwNoS=w150-h150-k-no-p
"My hubby surprised me with a little ""staycation"" getaway for my birthday. We spent the night at an Airbnb in Parkville, MO & we were so surprised to learn that the little Italian place on the corner called Frank's served breakfast! We were intrigued, so we gave it a shot. It was delicious. I had the Chicken Alfredo Omelette, my husband had the Tuscany Frittata, and we split a side of French toast. It is a charming little restaurant. Friendly staff, and a lovely atmosphere. We will definitely be back! I'm excited to try it for dinner as well!",ChZDSUhNMG9nS0VJQ0FnSUNXNHRUSlVREAE,"https://www.google.de/maps/place/Frank's+of+Parkville/@39.0167479,-95.2085899,10z/data=!4m6!3m5!1s0x87c0f5aa36a54ee3:0xb091ca3870ffd200!8m2!3d39.1893682!4d-94.6840522!16s%2Fg%2F12635zrrb?hl=en",ChIJ406lNqr1wIcRANL_cDjKkbA,Italian restaurant,5.0,https://lh5.googleusercontent.com/p/AF1QipM-2v1Ja6ZU0Ces-vfI1937n82i5-TlLCNmpgr9=w150-h150-k-no-p
"Frank's of Parkville is thr best Brunch and Mimosa destination, in North Kansas City. Wide variety menu, including eggs Benedict,  French toast, breakfast sandwich and more. With options to sit cozy and cool on the inside, or enjoy the beautiful scenery unfolding outside, on their patio deck. EXCELLENT service, GREAT food, AFFORDABLE- Open on the weekends, brunch until noon.",ChdDSUhNMG9nS0VJQ0FnSUR1NE9tRDR3RRAB,"https://www.google.de/maps/place/Frank's+of+Parkville/@39.0167479,-95.2085899,10z/data=!4m6!3m5!1s0x87c0f5aa36a54ee3:0xb091ca3870ffd200!8m2!3d39.1893682!4d-94.6840522!16s%2Fg%2F12635zrrb?hl=en",ChIJ406lNqr1wIcRANL_cDjKkbA,Italian restaurant,5.0,https://lh5.googleusercontent.com/p/AF1QipMH0Zj5hydAz31h43m9nWX0hpViLfhaPkSxYETs=w150-h150-k-no-p
"This is by far my favorite Italian restaurant ever. Great service, kind people, fast, delicious, reasonably priced, all around a great experience.",ChZDSUhNMG9nS0VJQ0FnSURxeHVyMFZREAE,"https://www.google.de/maps/place/Frank's+of+Parkville/@39.0167479,-95.2085899,10z/data=!4m6!3m5!1s0x87c0f5aa36a54ee3:0xb091ca3870ffd200!8m2!3d39.1893682!4d-94.6840522!16s%2Fg%2F12635zrrb?hl=en",ChIJ406lNqr1wIcRANL_cDjKkbA,Italian restaurant,5.0,https://lh5.googleusercontent.com/p/AF1QipP8R0gwI6uSseK6DVVXkZ6GxHSfGwCz9k5XS876=w150-h150-k-no-p
