stars,publishedAtDate,name,text,title,subTitle,description,price,totalScore,likesCount,isLocalGuide,reviewId,categoryName,reviewImageUrls/0,reviewImageUrls/1,reviewImageUrls/2,reviewImageUrls/3,reviewImageUrls/4,reviewImageUrls/5,reviewImageUrls/6,reviewImageUrls/7,reviewImageUrls/8,reviewImageUrls/9,reviewUrl,reviewerId,reviewerNumberOfReviews,reviewerPhotoUrl,reviewerUrl,reviewsCount,scrapedAt,state,street,temporarilyClosed,url,website,categories/0,categories/1,categories/2,categoryName.1,genre,keywords,keywords_only,sentiment,sent_score_0,label,placeId,text_length
5.0,2019-01-04T22:16:12,Lanie C,"This was so funny, lots of games! I won an adorable stuffed animal! Its lots a fun to cuddle with. Fun experience! I need to bring the whole fam next time",Round 1,,,,4.2,0.0,True,ChZDSUhNMG9nS0VJQ0FnSURJanBQb1pBEAE,Amusement center,https://lh5.googleusercontent.com/p/AF1QipP3LYDh08qilVvRa3pP7nxjlh0wWkZgbEhE30HG=w256-h256-p-k-no,,,,,,,,,,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURJanBQb1pBEAE!2m1!1s0x0:0x44e1e2393471a197!3m1!1s2@1:CIHM0ogKEICAgIDIjpPoZA%7CCgsIrLa_4QUQpJ3PSQ%7C?hl=en-US,105540184278353273066,138.0,https://lh3.googleusercontent.com/a-/ACB-R5Q9jjAMxocxAxRTWoLTgSWY36an_c4OW3quimVWPQE=s120-c-c0x00000000-cc-rp-mo-ba4-br100,https://www.google.com/maps/contrib/105540184278353273066?hl=en-US,1401,2023-03-26T11:03:48.785Z,New Mexico,6600 Menaul Blvd NE,False,"https://www.google.de/maps/place/Round+1/@35.0821683,-106.8165631,11z/data=!4m6!3m5!1s0x87220ad20823dbfb:0x44e1e2393471a197!8m2!3d35.1065227!4d-106.5756004!16s%2Fg%2F11gjp333j1?hl=en",http://round1usa.com/,Amusement center,,,Amusement center,activity,"[('won', 0.3441), ('fun', 0.3095), ('adorable', 0.2478), ('games', 0.2121), ('cuddle', 0.2045)]","['won', 'fun', 'adorable', 'games', 'cuddle']","[{'label': 'positive', 'score': 0.9113418459892273}]",,real,ChIJ-9sjCNIKIocRl6FxNDni4UQ,31
5.0,2019-04-16T15:44:45,Kevin Bond,"Fun party experience with a wide range of games. Cheap drinks, bowling, pool, and overall childish entertainment. I would certainly return again for another night of nonsense.",Round 1,,,,4.2,0.0,True,ChdDSUhNMG9nS0VJQ0FnSUNZLWRHY3VRRRAB,Amusement center,https://lh5.googleusercontent.com/p/AF1QipNiDh7Hg4gWcOCoeOD6WbUVEDP4VRRy_Vdylg1j=w256-h256-p-k-no,https://lh5.googleusercontent.com/p/AF1QipN5s4vn5CWA8cgU9ODfhsps7aQUywh1U2SQ3FVe=w256-h256-p-k-no,,,,,,,,,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNZLWRHY3VRRRAB!2m1!1s0x0:0x44e1e2393471a197!3m1!1s2@1:CIHM0ogKEICAgICY-dGcuQE%7CCgwI7fDX5QUQ6KKOmQM%7C?hl=en-US,110357683256969892075,147.0,https://lh3.googleusercontent.com/a/AGNmyxbZWl0IdE4JVNBfwUlalhHHfme4C8_kjixihN95Fw=s120-c-c0x00000000-cc-rp-mo-ba5-br100,https://www.google.com/maps/contrib/110357683256969892075?hl=en-US,1401,2023-03-26T11:03:48.785Z,New Mexico,6600 Menaul Blvd NE,False,"https://www.google.de/maps/place/Round+1/@35.0821683,-106.8165631,11z/data=!4m6!3m5!1s0x87220ad20823dbfb:0x44e1e2393471a197!8m2!3d35.1065227!4d-106.5756004!16s%2Fg%2F11gjp333j1?hl=en",http://round1usa.com/,Amusement center,,,Amusement center,activity,"[('party', 0.4866), ('fun', 0.4468), ('entertainment', 0.3962), ('games', 0.3795), ('drinks', 0.3753)]","['party', 'fun', 'entertainment', 'games', 'drinks']","[{'label': 'positive', 'score': 0.8272036910057068}]",,real,ChIJ-9sjCNIKIocRl6FxNDni4UQ,27
5.0,2021-12-16T05:28:26,Diana Owen,This was such a fun place for the whole family & the food was so delicious & well plated. We are excited for our next experience here.,Electric Playhouse,,,,4.2,1.0,True,ChdDSUhNMG9nS0VJQ0FnSUNtc04zQXNRRRAB,Amusement center,https://lh5.googleusercontent.com/p/AF1QipNpCLfufMgysaX7N_ioBnfQaez2dKHnRNjmEZdQ=w256-h256-p-k-no,https://lh5.googleusercontent.com/p/AF1QipOl0uQ7IyyyyCcleg1XflprnCS2MpDLk4v_qeMd=w256-h256-p-k-no,https://lh5.googleusercontent.com/p/AF1QipMEFmsBz2YgnNDkCXHxaH9MGi9gMLZDILrEnvc2=w256-h256-p-k-no,https://lh5.googleusercontent.com/p/AF1QipOaBKB0IYtsy88LoCdgqUfSY1LThHPVsJLPUmf6=w256-h256-p-k-no,https://lh5.googleusercontent.com/p/AF1QipOiGUI4pck3soAg9X_Zaryk0Ck7nL3u7l9by7rT=w256-h256-p-k-no,https://lh5.googleusercontent.com/p/AF1QipNoiRbUDaE7Ex5FDC46c7GOjxLpMbzpe1a-_ktT=w256-h256-p-k-no,https://lh5.googleusercontent.com/p/AF1QipOhTkLIjoi3cF55P6IQcFofEsnKKlghsai96SMq=w256-h256-p-k-no,,,,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNtc04zQXNRRRAB!2m1!1s0x0:0xc27b576777ca51da!3m1!1s2@1:CIHM0ogKEICAgICmsN3AsQE%7CCgwI-pzrjQYQ0N2OvQM%7C?hl=en-US,115946387918756836054,263.0,https://lh3.googleusercontent.com/a-/ACB-R5Q5z5TvSzZj4XGJh3l39jEi5ZD8MWOqhpFDStBArg=s120-c-c0x00000000-cc-rp-mo-ba5-br100,https://www.google.com/maps/contrib/115946387918756836054?hl=en-US,641,2023-03-26T11:04:46.177Z,New Mexico,5201 Ouray Rd NW,False,"https://www.google.de/maps/place/Electric+Playhouse/@35.125851,-106.8130894,10z/data=!4m6!3m5!1s0x87220cc73bd00001:0xc27b576777ca51da!8m2!3d35.1126857!4d-106.6995229!16s%2Fg%2F11f2wmfnvv?hl=en",https://electricplayhouse.com/,Amusement center,Bar & grill,Museum,Amusement center,activity,"[('delicious', 0.3104), ('excited', 0.2497), ('place', 0.2391), ('family', 0.2305), ('food', 0.2296)]","['delicious', 'excited', 'place', 'family', 'food']","[{'label': 'positive', 'score': 0.9447174072265625}]",,real,ChIJ-9sjCNIKIocRl6FxNDni4UQ,27
4.0,2019-03-05T18:13:58,R Glenn,"This place was pretty chill. Reminded me of that place called Main Event--without the laser tag. Didn't have any bike racks so we had to get creative locking our bikes together around the big pillar outside(see picture). Prices aren't too bad, wish they had specials for certain nights. Love that they serve pitchers! They had Santa Fe's 7K on tap too. Paul and Dinh(sp?) were really cool too.

The downside to the place is that it kinda felt like we were being chaperoned at a field trip or something. Lots of people just watching us... Kinda creepy and unnecessary.",Round 1,,,,4.2,1.0,True,ChZDSUhNMG9nS0VJQ0FnSUNvb05hU1pREAE,Amusement center,https://lh5.googleusercontent.com/p/AF1QipPE5bYlaLkyBU3r1-LuSnCMRux1cgdeIn3F9OUc=w256-h256-p-k-no,https://lh5.googleusercontent.com/p/AF1QipOOUclEt3YuytzE5t-665ltArPqeR_52BA2okNg=w256-h256-p-k-no,https://lh5.googleusercontent.com/p/AF1QipNURathXGmOlgmYzz0262oZKb_CsSf8XbFlqtfM=w256-h256-p-k-no,,,,,,,,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNvb05hU1pREAE!2m1!1s0x0:0x44e1e2393471a197!3m1!1s2@1:CIHM0ogKEICAgICooNaSZQ%7CCgwI5vj64wUQkK7XowM%7C?hl=en-US,112409593136753211755,75.0,https://lh3.googleusercontent.com/a-/ACB-R5So5DJpu9agoKCOt18sLEAjBrxua7bTFhxTy-wJkQ=s120-c-c0x00000000-cc-rp-mo-ba4-br100,https://www.google.com/maps/contrib/112409593136753211755?hl=en-US,1401,2023-03-26T11:03:48.785Z,New Mexico,6600 Menaul Blvd NE,False,"https://www.google.de/maps/place/Round+1/@35.0821683,-106.8165631,11z/data=!4m6!3m5!1s0x87220ad20823dbfb:0x44e1e2393471a197!8m2!3d35.1065227!4d-106.5756004!16s%2Fg%2F11gjp333j1?hl=en",http://round1usa.com/,Amusement center,,,Amusement center,activity,"[('place', 0.2454), ('outside', 0.1959), ('nights', 0.1937), ('event', 0.1888), ('chaperoned', 0.161)]","['place', 'outside', 'nights', 'event', 'chaperoned']","[{'label': 'negative', 'score': 0.4861602187156677}]",,real,ChIJ-9sjCNIKIocRl6FxNDni4UQ,99
5.0,2022-05-24T05:56:10,Josh S,Wonderful arcade!! We love visiting here. HUGE arcade with some of the best games available! Everything from pinball to bowling. They offer some of the best fun we have had in NM. Very affordable for the amount of options . The prize room has some great options and we have always left with a smile on our faces. It is also very convenient to just about every store and restaurant you could think of. This is a must try if your in the area!,Round 1,,,,4.2,1.0,True,ChZDSUhNMG9nS0VJQ0FnSUQyazc3ZE53EAE,Amusement center,https://lh5.googleusercontent.com/p/AF1QipNKiBKYBwcDf0kA8TKHVvhiVwmNofezbRm_coXG=w256-h256-p-k-no,,,,,,,,,,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUQyazc3ZE53EAE!2m1!1s0x0:0x44e1e2393471a197!3m1!1s2@1:CIHM0ogKEICAgID2k77dNw%7CCgwI-uaxlAYQ0OrpvAI%7C?hl=en-US,105834916092086062610,68.0,https://lh3.googleusercontent.com/a-/ACB-R5QB-5tlnXK8Z63uTGkc4iNsDDMkqR-1yzaOwY6zeQ=s120-c-c0x00000000-cc-rp-mo-ba4-br100,https://www.google.com/maps/contrib/105834916092086062610?hl=en-US,1401,2023-03-26T11:03:48.785Z,New Mexico,6600 Menaul Blvd NE,False,"https://www.google.de/maps/place/Round+1/@35.0821683,-106.8165631,11z/data=!4m6!3m5!1s0x87220ad20823dbfb:0x44e1e2393471a197!8m2!3d35.1065227!4d-106.5756004!16s%2Fg%2F11gjp333j1?hl=en",http://round1usa.com/,Amusement center,,,Amusement center,activity,"[('arcade', 0.5046), ('nm', 0.3951), ('pinball', 0.3263), ('games', 0.2899), ('visiting', 0.2829)]","['arcade', 'nm', 'pinball', 'games', 'visiting']","[{'label': 'positive', 'score': 0.8871480822563171}]",,real,ChIJ-9sjCNIKIocRl6FxNDni4UQ,84
1.0,2021-11-22T18:56:47,Pollis Howel,Overly concerned about masks. No need to ask if you require it. Make the government enforce their own rules. Will never be back since I was asked to wear a mask.,Round 1,,,,4.2,6.0,True,ChdDSUhNMG9nS0VJQ0FnSURHNHJDbDV3RRAB,Amusement center,https://lh5.googleusercontent.com/p/AF1QipMRsWmrthr84rT8n0IYiOXltLbqdBUWVd__48CC=w256-h256-p-k-no,,,,,,,,,,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURHNHJDbDV3RRAB!2m1!1s0x0:0x44e1e2393471a197!3m1!1s2@1:CIHM0ogKEICAgIDG4rCl5wE%7CCgwI78_vjAYQkJrklgI%7C?hl=en-US,114813576880751145224,35.0,https://lh3.googleusercontent.com/a-/ACB-R5RDT0-AzWhJPX6PlWncZaJqjByIwzvypji2P4RL=s120-c-c0x00000000-cc-rp-mo-ba3-br100,https://www.google.com/maps/contrib/114813576880751145224?hl=en-US,1401,2023-03-26T11:03:48.785Z,New Mexico,6600 Menaul Blvd NE,False,"https://www.google.de/maps/place/Round+1/@35.0821683,-106.8165631,11z/data=!4m6!3m5!1s0x87220ad20823dbfb:0x44e1e2393471a197!8m2!3d35.1065227!4d-106.5756004!16s%2Fg%2F11gjp333j1?hl=en",http://round1usa.com/,Amusement center,,,Amusement center,activity,"[('masks', 0.5302), ('mask', 0.5089), ('enforce', 0.2931), ('government', 0.2777), ('require', 0.2279)]","['masks', 'mask', 'enforce', 'government', 'require']","[{'label': 'negative', 'score': 0.8008715510368347}]",,real,ChIJ-9sjCNIKIocRl6FxNDni4UQ,31
1.0,2023-03-19T05:09:54,Kevin Saavedra,"**DO NOT BUY ANY RHYTHM GAME PASSES UNTIL THESE ISSUES ARE ADDRESSED**

Very niche complaint here, I know, but this is so frustrating. Aside from some of the games being broken (some for several months now), new games like Music Diver end up lagging.

But one thing that could easily be fixed is removing the acrylic plates keeping people from scanning their cards or putting in their PIN numbers on the touch screen. Part of the appeal of these games is the ability to save progress (that's what keeps me coming back), but these silly shields protecting the cabinets are in the way. Charging people $6 per card and then preventing them from using them is nothing short of a scam.",Round 1,,,,4.2,0.0,True,ChdDSUhNMG9nS0VJQ0FnSURVeDZhNV9BRRAB,Amusement center,https://lh5.googleusercontent.com/p/AF1QipMeKU3eKL0crD36TcWeLjKZEZRUr2Sv9A1pCzX1=w256-h256-p-k-no,,,,,,,,,,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURVeDZhNV9BRRAB!2m1!1s0x0:0x44e1e2393471a197!3m1!1s2@1:CIHM0ogKEICAgIDUx6a5_AE%7CCgwIorLaoAYQ4JGp2QE%7C?hl=en-US,109182902848059004607,108.0,https://lh3.googleusercontent.com/a-/ACB-R5SUjqwDRxcIikcHyjmktg0CMIW7fc2Y4sN6bwxtDA=s120-c-c0x00000000-cc-rp-mo-ba4-br100,https://www.google.com/maps/contrib/109182902848059004607?hl=en-US,1401,2023-03-26T11:03:48.785Z,New Mexico,6600 Menaul Blvd NE,False,"https://www.google.de/maps/place/Round+1/@35.0821683,-106.8165631,11z/data=!4m6!3m5!1s0x87220ad20823dbfb:0x44e1e2393471a197!8m2!3d35.1065227!4d-106.5756004!16s%2Fg%2F11gjp333j1?hl=en",http://round1usa.com/,Amusement center,,,Amusement center,activity,"[('cards', 0.338), ('games', 0.3117), ('card', 0.2854), ('passes', 0.2517), ('pin', 0.2337)]","['cards', 'games', 'card', 'passes', 'pin']","[{'label': 'negative', 'score': 0.9027385711669922}]",,real,ChIJ-9sjCNIKIocRl6FxNDni4UQ,121
4.0,2022-01-29T15:23:32,Demetris,"1/2022:  RECOMMEND, but 3.5 stars if possible due to 2 details:

If possible, go during the WEEKDAY for Unlimited bowl until 5pm for $11.99. I've hurt my arms & shoulders from bowling way too many games during this inexpensive time and improved my bowling scores.  (Thank you Round 1).

I've enjoyed going to Round 1 to relax and enjoy the oversized Pac-man game and bowl some stress away.  I have not tried the food nor drinks there because I just go in to play games.

Mostly clean, spacious and social distancing  protocols are  in effect.  Team members were constantly cleaning.  My only negative comment is that no one has cleaned the escalator entrance and it looks unwelcoming/unsightly.

Overall, give Round 1 a try and see what you think about it.  Enjoy the games!",Round 1,,,,4.2,2.0,True,ChdDSUhNMG9nS0VJQ0FnSURtM3NxbnRRRRAB,Amusement center,https://lh5.googleusercontent.com/p/AF1QipNPvJD7bUsFVKUJyIkbcJ1aD1gYn72zFYjH0cE=w256-h256-p-k-no,https://lh5.googleusercontent.com/p/AF1QipNA9A-33mxXyqZqPun_dE0SHQCrL3cbgOiJXZ4=w256-h256-p-k-no,https://lh5.googleusercontent.com/p/AF1QipP9pWJkqg4TkzfR7x0O3k06bQQdRFh0W1bYFVM=w256-h256-p-k-no,https://lh5.googleusercontent.com/p/AF1QipNg6ksXDva8O32lS6Vl2t7wwX7sggmSGfJeQxE=w256-h256-p-k-no,https://lh5.googleusercontent.com/p/AF1QipP6YiCiD4EDitoWCzt1TfKEu4pnJ92xR-nqoDc=w256-h256-p-k-no,https://lh5.googleusercontent.com/p/AF1QipOhhRDRdHKO1-ckwCYwxSA71lrVepYpwVet7Tg=w256-h256-p-k-no,https://lh5.googleusercontent.com/p/AF1QipNgenUDKgKxSG8aChZ_kLey7awYUtFrmKLweN8=w256-h256-p-k-no,https://lh5.googleusercontent.com/p/AF1QipPnpDe0eXTVV1rHbr-TwZSoVu3dFE2DrlvJCNg=w256-h256-p-k-no,https://lh5.googleusercontent.com/p/AF1QipPoxydTyIwY7L5TeGiOL-odFk-1u1JHkaSuj6M=w256-h256-p-k-no,https://lh5.googleusercontent.com/p/AF1QipPpRwE4czEUnZNAIP9R5t-YfrFHpkaosT4hl30=w256-h256-p-k-no,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURtM3NxbnRRRRAB!2m1!1s0x0:0x44e1e2393471a197!3m1!1s2@1:CIHM0ogKEICAgIDm3sqntQE%7CCgwI9LfVjwYQyNPU3QI%7C?hl=en-US,117990966229163121164,206.0,https://lh3.googleusercontent.com/a-/ACB-R5TT26VOoee7tBNElU_2GFnRJbATWvWCIiMBE3I55w=s120-c-c0x00000000-cc-rp-mo-ba6-br100,https://www.google.com/maps/contrib/117990966229163121164?hl=en-US,1401,2023-03-26T11:03:48.785Z,New Mexico,6600 Menaul Blvd NE,False,"https://www.google.de/maps/place/Round+1/@35.0821683,-106.8165631,11z/data=!4m6!3m5!1s0x87220ad20823dbfb:0x44e1e2393471a197!8m2!3d35.1065227!4d-106.5756004!16s%2Fg%2F11gjp333j1?hl=en",http://round1usa.com/,Amusement center,,,Amusement center,activity,"[('bowling', 0.3773), ('bowl', 0.3636), ('recommend', 0.2897), ('pac', 0.2786), ('entrance', 0.243)]","['bowling', 'bowl', 'recommend', 'pac', 'entrance']","[{'label': 'negative', 'score': 0.5077006220817566}]",,real,ChIJ-9sjCNIKIocRl6FxNDni4UQ,133
5.0,2021-07-03T01:50:18,Nicky Olivas,"Really neat place to take the kids for family time or just dump them off with $30 for a little over an hour (with an older sibling, I am not a monster!😂). Oh and cards are reloadable and the hold the tickets you won too.
They have bowling, billiard tables, darts, and tons of different types of arcade games. I highly recommend checking them out in person or online. Either it was a blast!!",Round 1,,,,4.2,1.0,False,ChZDSUhNMG9nS0VJQ0FnSURxb3ZiNEhnEAE,Amusement center,https://lh5.googleusercontent.com/p/AF1QipMRPp46ejlk45KzpoAsOmsU26x4BCog7GJ8oxuv=w256-h256-p-k-no,https://lh5.googleusercontent.com/p/AF1QipMIt6ODSYPG8hX2sd_lSqc716HgrCdm926Qh9OD=w256-h256-p-k-no,,,,,,,,,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURxb3ZiNEhnEAE!2m1!1s0x0:0x44e1e2393471a197!3m1!1s2@1:CIHM0ogKEICAgIDqovb4Hg%7CCgsI2oT_hgYQgKGVHw%7C?hl=en-US,105963042830905078682,19.0,https://lh3.googleusercontent.com/a-/ACB-R5TnbIy9rTt99mG4QlMVQ3VNjYXCmj5w60XGS--gyic=s120-c-c0x00000000-cc-rp-mo-br100,https://www.google.com/maps/contrib/105963042830905078682?hl=en-US,1401,2023-03-26T11:03:48.785Z,New Mexico,6600 Menaul Blvd NE,False,"https://www.google.de/maps/place/Round+1/@35.0821683,-106.8165631,11z/data=!4m6!3m5!1s0x87220ad20823dbfb:0x44e1e2393471a197!8m2!3d35.1065227!4d-106.5756004!16s%2Fg%2F11gjp333j1?hl=en",http://round1usa.com/,Amusement center,,,Amusement center,activity,"[('arcade', 0.4347), ('billiard', 0.337), ('place', 0.2824), ('games', 0.2799), ('cards', 0.2786)]","['arcade', 'billiard', 'place', 'games', 'cards']","[{'label': 'positive', 'score': 0.8603128790855408}]",,real,ChIJ-9sjCNIKIocRl6FxNDni4UQ,74
5.0,2022-09-09T13:27:18,Britt B,We had a great time ❤,Hinkle Fun Center,,"Family recreation spot featuring bumper cars, laser tag, paintball & more along with an arcade.",,4.4,1.0,True,ChZDSUhNMG9nS0VJQ0FnSUNld3Vib0ZBEAE,Amusement center,https://lh5.googleusercontent.com/p/AF1QipPfchqppK1LyJbtQ9uwr3Zz2yG9CWZEcCzYswQW=w256-h256-p-k-no,https://lh5.googleusercontent.com/p/AF1QipPR5UZ5cLCTYvYNT1IRbpBkRZBHTs2Sv_cLvkZd=w256-h256-p-k-no,,,,,,,,,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNld3Vib0ZBEAE!2m1!1s0x0:0x412edc9effd42a9e!3m1!1s2@1:CIHM0ogKEICAgICewuboFA%7CCgwItv7smAYQiIqIwwE%7C?hl=en-US,102802089927739165051,56.0,https://lh3.googleusercontent.com/a-/ACB-R5QHlD3a3ZRPBV-f0kbqERaTfEs_sGJG_LmBuC9nGQ=s120-c-c0x00000000-cc-rp-mo-ba3-br100,https://www.google.com/maps/contrib/102802089927739165051?hl=en-US,2249,2023-03-26T11:04:01.183Z,New Mexico,12931 Indian School Rd NE,False,"https://www.google.de/maps/place/Hinkle+Fun+Center/@35.0821683,-106.8165631,11z/data=!4m6!3m5!1s0x8718a04616bd7ba3:0x412edc9effd42a9e!8m2!3d35.0955452!4d-106.4982381!16s%2Fg%2F1tyt5tdn?hl=en",https://www.hinklefuncenter.com/,Amusement center,,,Amusement center,activity,"[('great', 0.2091), ('time', 0.1285)]","['great', 'time']","[{'label': 'positive', 'score': 0.9334120750427246}]",,real,ChIJ-9sjCNIKIocRl6FxNDni4UQ,6
